Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1120.00	70		0.0	1.0	4	82%	1	0	0	2020-08-02 22:26:01.206205
Cloudtail India	1121.00			1.0	1.0009	4.5	89%	1	1	1	2020-08-02 22:26:01.206205
HEXA A STORE	1130.00	36		10.0	1.0089	2.5	45%	0	0	0	2020-08-02 22:26:01.206205
Digitaly yours	1185.00	36	8-9 days	65.0	1.058	3	53%	0	0	0	2020-08-02 22:26:01.206205
Catchy Bags	1195.00	124		75.0	1.067	4.5	94%	1	0	0	2020-08-02 22:26:01.206205
Backpack World	1218.00		8-9 days	98.0	1.0875	4	83%	0	0	0	2020-08-02 22:26:01.206205
BagStop	1350.00	58		230.0	1.2054	3.5	57%	0	0	0	2020-08-02 22:26:01.206205
cloudind	1499.00		7-8 days	379.0	1.3384	4.5	93%	0	0	0	2020-08-02 22:26:01.206205
Harricane	1500.00	252	7-8 days	380.0	1.3393	3.5	65%	0	0	0	2020-08-02 22:26:01.206205
TRENZY WORLD	1550.00	1		430.0	1.3839	4	100%	0	0	0	2020-08-02 22:26:01.206205
Atlantic LLC	1120.00	70		0.0	1.0	4	82%	1	0	0	2020-08-02 22:26:01.206205
Cloudtail India	1126.00			6.0	1.0054	4.5	89%	1	1	1	2020-08-02 22:26:01.206205
HEXA A STORE	1130.00	36		10.0	1.0089	2.5	45%	0	0	0	2020-08-02 22:26:01.206205
Digitaly yours	1185.00	36	8-9 days	65.0	1.058	3	53%	0	0	0	2020-08-02 22:26:01.206205
Catchy Bags	1195.00	124		75.0	1.067	4.5	94%	1	0	0	2020-08-02 22:26:01.206205
Backpack World	1218.00		8-9 days	98.0	1.0875	4	83%	0	0	0	2020-08-02 22:26:01.206205
Brands India	1590.00	250		470.0	1.4196	4	89%	1	0	0	2020-08-02 22:26:01.206205
V-THREE	1960.00	4	8-9 days	840.0	1.75	4	75%	0	0	0	2020-08-02 22:26:01.206205
gsienterprises	2240.00	6		1120.0	2.0	3	50%	0	0	0	2020-08-02 22:26:01.206205
Purvas Shoppe	2240.00	18	9-10 days	1120.0	2.0	4.5	94%	0	0	0	2020-08-02 22:26:01.206205
Harricane	1500.00	252	7-8 days	380.0	1.3393	3.5	65%	0	0	0	2020-08-02 22:26:01.206205
Brands India	1590.00	250		470.0	1.4196	4	89%	1	0	0	2020-08-02 22:26:01.206205
V-THREE	1960.00	4	8-9 days	840.0	1.75	4	75%	0	0	0	2020-08-02 22:26:01.206205
