Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SSTZ	1430.00	91		0.0	1.0	4	77%	1	0	1	2020-08-02 04:38:36.355740
Harricane	1448.00	252		18.0	1.0126	3.5	65%	1	0	0	2020-08-02 04:38:36.355740
Shrey marketing	1577.00	12		147.0	1.1028	4	83%	0	0	0	2020-08-02 04:38:36.355740
TODAY'S DEAL	1614.00			184.0	1.1287	4	81%	1	0	0	2020-08-02 04:38:36.355740
BAG STREET	1694.00	379		264.0	1.1846	4.5	91%	1	0	0	2020-08-02 04:38:36.355740
World Market	1899.00	39		469.0	1.328	4.5	93%	1	0	0	2020-08-02 04:38:36.355740
Be Fit 12013	1889.00	31	9-10 days	459.0	1.321	3.5	58%	0	0	0	2020-08-02 04:38:36.355740
ABS Attache and Bags Store	2000.00	25		570.0	1.3986	4	80%	1	0	0	2020-08-02 04:38:36.355740
BASTEY	2000.00		9-10 days	570.0	1.3986			0	0	0	2020-08-02 04:38:36.355740
ABS Attache and Bags Store	2050.00		7-8 days	620.0	1.4336	4	80%	0	0	0	2020-08-02 04:38:36.355740
