Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1119.00			0.0	1.0	4.5	90%	1	1	1	2020-07-27 19:40:29.022019
F Gear	1290.00		7-8 days	171.0	1.1528	4.5	97%	0	0	0	2020-07-27 19:40:29.022019
