Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1048.00	20		0.0	1.0	4	80%	1	0	1	2020-08-30 13:40:49.388797
E-Shop Retail	1210.00	84		162.0	1.1546	4.5	88%	1	0	0	2020-08-30 13:40:49.388797
Earth industries	1214.00	31	6-7 days	166.0	1.1584	3	45%	0	0	0	2020-08-30 13:40:49.388797
TODAY'S DEAL	1215.00			167.0	1.1594	4	79%	1	0	0	2020-08-30 13:40:49.388797
DEALS AMAZING	1215.00			167.0	1.1594	4	77%	1	0	0	2020-08-30 13:40:49.388797
EVAN	1219.00			171.0	1.1632	4.5	94%	1	0	0	2020-08-30 13:40:49.388797
Catchy Bags	1250.00	124		202.0	1.1927	4.5	94%	1	0	0	2020-08-30 13:40:49.388797
Bhagwati Bag Center	1350.00			302.0	1.2882			0	0	0	2020-08-30 13:40:49.388797
Safari's luggage world	1918.00		7-9 days	870.0	1.8302	4	74%	0	0	0	2020-08-30 13:40:49.388797
gsienterprises	1918.00	27	7-8 days	870.0	1.8302	3	50%	0	0	0	2020-08-30 13:40:49.388797
The Skool Shoppe	1918.00	6	7-9 days	870.0	1.8302			0	0	0	2020-08-30 13:40:49.388797
