Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Ppj bags	1350.00	93		0.0	1.0	4	79%	0	0	1	2020-07-30 17:35:51.521258
BAG STREET	1380.00	379		30.0	1.0222	4.5	91%	1	0	0	2020-07-30 17:35:51.521258
E-Shop Retail	1399.00	80	10-12 days	49.0	1.0363	4.5	85%	0	0	0	2020-07-30 17:35:51.521258
Catchy Bags	1417.00	124		67.0	1.0496	4.5	95%	1	0	0	2020-07-30 17:35:51.521258
Balaji E	1420.00	34		70.0	1.0519	4	76%	1	0	0	2020-07-30 17:35:51.521258
YATEE TRADING COMPANY	1420.00	94		70.0	1.0519	4	78%	1	0	0	2020-07-30 17:35:51.521258
Digi tree electrical & electronics	1399.00			49.0	1.0363			0	0	0	2020-07-30 17:35:51.521258
eLITESPORTS	1546.00		8-10 days	196.0	1.1452	4.5	90%	0	0	0	2020-07-30 17:35:51.521258
Ocean Bag	1650.00	594	8-10 days	300.0	1.2222	4.5	83%	0	0	0	2020-07-30 17:35:51.521258
V-THREE	1880.00	6		530.0	1.3926	4	75%	0	0	0	2020-07-30 17:35:51.521258
NEW FANCY BAGS	1849.00	4		499.0	1.3696	5	100%	0	0	0	2020-07-30 17:35:51.521258
gsienterprises	1880.00	4	7-10 days	530.0	1.3926	3	50%	0	0	0	2020-07-30 17:35:51.521258
