Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Earth industries	1454.00	29		0.0	1.0	3	44%	1	0	1	2020-07-30 17:35:51.521258
Click At Luggage	1480.00	714		26.0	1.0179	4.5	95%	1	0	0	2020-07-30 17:35:51.521258
Olympia Industries Ltd	1486.00			32.0	1.022	4.5	89%	1	0	0	2020-07-30 17:35:51.521258
Desert Retail	1596.00	28		142.0	1.0977	4	79%	0	0	0	2020-07-30 17:35:51.521258
E-TECH RETAIL	1599.00	1	10-12 days	145.0	1.0997	5	100%	0	0	0	2020-07-30 17:35:51.521258
Backpack World	1650.00		8-10 days	196.0	1.1348	4	83%	0	0	0	2020-07-30 17:35:51.521258
Nasher Miles Private Limited	1699.00			245.0	1.1685	5	97%	1	0	0	2020-07-30 17:35:51.521258
Net Distribution Services Pvt Ltd	1700.00	779		246.0	1.1692	4.5	86%	1	0	0	2020-07-30 17:35:51.521258
LAHAR SELECTION	1999.00			545.0	1.3748			0	0	0	2020-07-30 17:35:51.521258
The Skool Shoppe	2080.00		10-11 days	626.0	1.4305			0	0	0	2020-07-30 17:35:51.521258
