Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
D-Cart	1525.00	150		0.0	1.0	4.5	87%	1	0	0	2020-07-29 17:41:32.828702
Cloudtail India	1529.00			4.0	1.0026	4.5	90%	1	1	1	2020-07-29 17:41:32.828702
SSTZ	1594.00	91		69.0	1.0452	4	77%	1	0	0	2020-07-29 17:41:32.828702
World Market	1599.00	38		74.0	1.0485	4.5	92%	1	0	0	2020-07-29 17:41:32.828702
Harricane	1670.00	250		145.0	1.0951	3.5	66%	1	0	0	2020-07-29 17:41:32.828702
DEALS AMAZING	1689.00			164.0	1.1075	4	80%	1	0	0	2020-07-29 17:41:32.828702
BAG STREET	1790.00	379		265.0	1.1738	4.5	91%	1	0	0	2020-07-29 17:41:32.828702
Lioncrown India	1799.00	801		274.0	1.1797	4	86%	1	0	0	2020-07-29 17:41:32.828702
Textech Solutions	1925.00	317		400.0	1.2623	4.5	92%	1	0	0	2020-07-29 17:41:32.828702
ABS Attache and Bags Store	2060.00	25		535.0	1.3508	4	80%	1	0	0	2020-07-29 17:41:32.828702
