Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BoxWish	2125.00			0.0	1.0	4	85%	1	0	1	2020-09-03 00:00:07.177661
Click At Luggage	2125.00	714		0.0	1.0	4.5	95%	1	0	0	2020-09-03 00:00:07.177661
D-Cart	2130.00	168		5.0	1.0024	4	82%	1	0	0	2020-09-03 00:00:07.177661
SuperNV *****	2195.00	25		70.0	1.0329	3.5	67%	1	0	0	2020-09-03 00:00:07.177661
DEALS AMAZING	2273.00			148.0	1.0696	4	77%	1	0	0	2020-09-03 00:00:07.177661
World Market	2289.00	44		164.0	1.0772	4.5	93%	1	0	0	2020-09-03 00:00:07.177661
CLOUD STATION	2295.00	126		170.0	1.08	4	75%	1	0	0	2020-09-03 00:00:07.177661
Verizoni LLC	2363.00			238.0	1.112	4	72%	1	0	0	2020-09-03 00:00:07.177661
BAG STREETS	2723.00	387		598.0	1.2814	4.5	91%	1	0	0	2020-09-03 00:00:07.177661
TODAY'S DEAL	2740.00			615.0	1.2894	4	78%	1	0	0	2020-09-03 00:00:07.177661
Verizoni LLC	2363.00		4-5 days	238.0	1.112	4	72%	0	0	0	2020-09-03 00:00:07.177661
Stonehenge Retail	2799.00	211		674.0	1.3172	4	82%	1	0	0	2020-09-03 00:00:07.177661
PINNACLE RETAIL	2849.00	11	8-10 days	724.0	1.3407	3.5	73%	0	0	0	2020-09-03 00:00:07.177661
Be Fit 12013	2834.00	33	8-12 days	709.0	1.3336	3.5	61%	0	0	0	2020-09-03 00:00:07.177661
