Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SSTZ	1098.00	91		0.0	1.0	4	77%	1	0	1	2020-07-28 06:41:54.015363
DEALS AMAZING	1188.00			90.0	1.082	4	80%	1	0	0	2020-07-28 06:41:54.015363
World Market	1289.00	38		191.0	1.174	4.5	93%	1	0	0	2020-07-28 06:41:54.015363
BAG STREET	1299.00	377		201.0	1.1831	4.5	91%	1	0	0	2020-07-28 06:41:54.015363
SPORTS N FITNESS	1300.00	44		202.0	1.184	2.5	31%	0	0	0	2020-07-28 06:41:54.015363
NAMO DIGITAL INDIA	1299.00	103	6-7 days	201.0	1.1831	4	81%	0	0	0	2020-07-28 06:41:54.015363
