Price + Delivery	Condition	Seller Information	Delivery
  1,454.00 | Prime : Yes |  |   1,454.00	New	Earth industries | 3 out of 5 stars  | 44% positive | 29 total rating	Fullfilled by Amazon
  1,480.00 | Prime : Yes |  |   1,480.00	New	Click At Luggage | 4.5 out of 5 stars  | 95% positive. | 714 total rating	Fullfilled by Amazon
  1,486.00 | Prime : Yes |  |   1,486.00	New	Olympia Industries Ltd. | 4.5 out of 5 stars  | 89% positive | 166,755 total rating	Fullfilled by Amazon
  1,596.00 | Prime : Yes |  |   1,596.00	New	Desert Retail | 4 out of 5 stars  | 79% positive. | 28 total rating	Not fulfilled by Amazon
  1,599.00 | Prime : No |  | FREE Delivery.	New	E-TECH RETAIL | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 10-12 days
  1,650.00 | Prime : No |  | FREE Delivery.	New	Backpack World | 4 out of 5 stars  | 83% positive | 1,275 total rating	Not fulfilled by Amazon | 8-10 days
  1,699.00 | Prime : Yes |  |   1,699.00	New	Nasher Miles Private Limited | 5 out of 5 stars  | 97% positive | 22,685 total rating	Fullfilled by Amazon
  1,700.00 | Prime : Yes |  |   1,700.00	New	Net Distribution Services Pvt. Ltd | 4.5 out of 5 stars  | 86% positive | 779 total rating	Fullfilled by Amazon
  1,999.00 | Prime : No |  | FREE Delivery.	New	LAHAR SELECTION |  |  | Seller Profil	Not fulfilled by Amazon
  2,080.00 | Prime : No |  | +   80.00 Delivery	New	The Skool Shoppe |  |  | Seller Profil	Not fulfilled by Amazon | 10-11 days
