Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	989.00			0.0	1.0	4.5	89%	1	1	1	2020-09-05 00:56:45.836546
LAGGAGE	1049.00	5		60.0	1.0607	3	40%	0	0	0	2020-09-05 00:56:45.836546
Big Bazaar	1139.00			150.0	1.1517	3.5	61%	1	0	0	2020-09-05 00:56:45.836546
NDSL - Authorized Distributors	1183.00	788		194.0	1.1962	4.5	85%	1	0	0	2020-09-05 00:56:45.836546
Atlantic LLC	1299.00	70		310.0	1.3134	4	81%	1	0	0	2020-09-05 00:56:45.836546
Discount Junction	1999.00	438		1010.0	2.0212	3.5	61%	0	0	0	2020-09-05 00:56:45.836546
