Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1197.00	85		0.0	1.0	4.5	82%	1	0	1	2020-09-05 00:56:45.836546
CONCEPTENTERPRISES	1197.00		8-9 days	0.0	1.0			0	0	0	2020-09-05 00:56:45.836546
DEALS AMAZING	1198.00			1.0	1.0008	4	76%	1	0	0	2020-09-05 00:56:45.836546
TODAY'S DEAL	1203.00			6.0	1.005	4	79%	1	0	0	2020-09-05 00:56:45.836546
Earth industries	1209.00			12.0	1.01	3	45%	1	0	0	2020-09-05 00:56:45.836546
AnandEnterprisesForU	1249.00	31		52.0	1.0434	3.5	73%	1	0	0	2020-09-05 00:56:45.836546
Catchy Bags	1250.00	11		53.0	1.0443	4.5	94%	1	0	0	2020-09-05 00:56:45.836546
Deepsum Bags	1900.00	124	9-10 days	703.0	1.5873	5	100%	0	0	0	2020-09-05 00:56:45.836546
Safari's luggage world	1918.00	4	9-10 days	721.0	1.6023	4	74%	0	0	0	2020-09-05 00:56:45.836546
The Skool Shoppe	1918.00	27	8-10 days	721.0	1.6023			0	0	0	2020-09-05 00:56:45.836546
