Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1434.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-24 19:49:47.931587
Digitaly yours	1436.00	36	9-10 days	2.0	1.0014	3	53%	0	0	0	2020-07-24 19:49:47.931587
Earth industries	1454.00	29		20.0	1.0139	3	44%	1	0	0	2020-07-24 19:49:47.931587
Desert Retail	1596.00	28		162.0	1.113	4	79%	0	0	0	2020-07-24 19:49:47.931587
E-TECH RETAIL	1599.00	1	12-14 days	165.0	1.1151	5	100%	0	0	0	2020-07-24 19:49:47.931587
Backpack World	1650.00		6-9 days	216.0	1.1506	4.5	89%	0	0	0	2020-07-24 19:49:47.931587
Nasher Miles Private Limited	1699.00			265.0	1.1848	5	97%	1	0	0	2020-07-24 19:49:47.931587
Net Distribution Services Pvt Ltd	1700.00	777		266.0	1.1855	4.5	86%	1	0	0	2020-07-24 19:49:47.931587
LAHAR SELECTION	1999.00		10-11 days	565.0	1.394			0	0	0	2020-07-24 19:49:47.931587
The Skool Shoppe	2080.00		12-14 days	646.0	1.4505			0	0	0	2020-07-24 19:49:47.931587
