Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			0.0	1.0	4.5	89%	1	1	1	2020-08-26 01:57:14.825593
Young Image	1190.00	6		341.0	1.4016	4	67%	0	0	0	2020-08-26 01:57:14.825593
Olympia Industries Ltd	1288.00			439.0	1.5171	4.5	89%	1	0	0	2020-08-26 01:57:14.825593
