Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Catchy Bags	785.00	124		0.0	1.0	4.5	94%	1	0	1	2020-08-26 01:57:14.825593
EVAN	787.40			2.4	1.0031	4.5	94%	1	0	0	2020-08-26 01:57:14.825593
BAGS HI BAG	787.50	72		2.5	1.0032	3.5	70%	1	0	0	2020-08-26 01:57:14.825593
Desert Retail	789.30	28	6-7 days	4.3	1.0055	4	79%	0	0	0	2020-08-26 01:57:14.825593
MORE BUY	790.00	38		5.0	1.0064	3	50%	0	0	0	2020-08-26 01:57:14.825593
JAI GANPATI BAGS	820.00	387		35.0	1.0446	4.5	91%	1	0	0	2020-08-26 01:57:14.825593
ecomstars	849.00			64.0	1.0815	4	79%	1	0	0	2020-08-26 01:57:14.825593
Baggiz	889.50	113		104.5	1.1331	4.5	96%	0	0	0	2020-08-26 01:57:14.825593
Balaji E	912.00	34		127.0	1.1618	4	76%	1	0	0	2020-08-26 01:57:14.825593
BNBLUG	900.00		5-6 days	115.0	1.1465			0	0	0	2020-08-26 01:57:14.825593
Stonehenge Retail	949.00			164.0	1.2089	4	82%	1	0	0	2020-08-26 01:57:14.825593
Ocean Bag	899.00	206	5-6 days	114.0	1.1452	4.5	83%	0	0	0	2020-08-26 01:57:14.825593
Aaresh Enterprises	949.00	6		164.0	1.2089	3.5	63%	0	0	0	2020-08-26 01:57:14.825593
TRENZY WORLD	1080.00	8		295.0	1.3758	4	100%	0	0	0	2020-08-26 01:57:14.825593
V-THREE	1360.00	1	4-5 days	575.0	1.7325	4	75%	0	0	0	2020-08-26 01:57:14.825593
gsienterprises	1360.00	4	6-7 days	575.0	1.7325	3	50%	0	0	0	2020-08-26 01:57:14.825593
Harricane	1500.00	6	6-7 days	715.0	1.9108	3.5	64%	0	0	0	2020-08-26 01:57:14.825593
