Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	329.00	1,524	0.0	1.0	3.5	67%	0	0	0
Inetrade India	333.90	3,253	4.9	1.0149	4	75%	0	0	0
Amazing_Buy	409.00	17,787	80.0	1.2432	4.5	95%	1	0	0
uRead-Store	409.00	25,134	80.0	1.2432	4.5	92%	1	0	1
MK BOOKS INDIA	424.00	2,247	95.0	1.2888	2.5	34%	0	0	0
AskTech Books	380.00	2	51.0	1.155	2.5	50%	0	0	0
Bookflow	449.10	3,100	120.1	1.365	3.5	67%	0	0	0
Goodread Bookstore	459.00	579	130.0	1.3951	5	97%	1	0	0
Book Selection Centre	369.00	136	40.0	1.1216	4.5	96%	0	0	0
O_Store	384.23	593	55.23	1.1679	4.5	87%	0	0	0
Mumbai gift corner	474.00	718	145.0	1.4407	4.5	89%	0	0	0
HERITAGE PUBLISHERS	474.00	783	145.0	1.4407	4.5	94%	0	0	0
Skycart	409.00	479	80.0	1.2432	4.5	90%	0	0	0
ScribbleGraffito	414.17	29	85.17	1.2589	4.5	91%	0	0	0
BSK Book	499.00	159	170.0	1.5167	3.5	60%	0	0	0
Buy Amazing Books	499.00	3,549	170.0	1.5167	3	51%	0	0	0
CrossWord Books	459.00	116	130.0	1.3951	5	95%	0	0	0
Book store01	499.00	11	170.0	1.5167	3	45%	0	0	0
BOOKKR	499.00	5	170.0	1.5167	3.5	60%	0	0	0
Browsers' Lounge	477.00	122	148.0	1.4498	4.5	96%	0	0	0
A to Z Book House	499.00	1,275	170.0	1.5167	3	46%	0	0	0
Booksmandi	499.00	2,531	170.0	1.5167	4.5	89%	0	0	0
Ginni Books	533.41	9	204.41	1.6213	4.5	89%	0	0	0
Ambe Books	533.41	2	204.41	1.6213	3	50%	0	0	0
dealstar	648.00	6,596	319.0	1.9696	4.5	85%	0	0	0
S B T books	464.00	113	135.0	1.4103	4.5	88%	0	0	0
PKS RETAIL	730.00	4	401.0	2.2188	5	100%	0	0	0
W S Retaill	461.00	34	132.0	1.4012	3.5	69%	0	0	0
Bookswagon	784.00	6,382	455.0	2.383	4	70%	0	0	0
Sunrise Book store	781.00	1,357	452.0	2.3739	3.5	61%	0	0	0
BSK Book	499.00	159	170.0	1.5167	3.5	60%	0	0	0
CrossWord Books	459.00	116	130.0	1.3951	5	95%	0	0	0
D R	2321.00	12,168	1992.0	7.0547	4	82%	0	0	0
