Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
B2A UK	4749.00	6,928	154.0	1.0335	4.5	83%	0	0	0
Atlantic Publishers and Distributors	4595.00	14,540	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	4681.00	2,801	86.0	1.0187	4.5	92%	0	0	0
Bookswagon	5125.00	6,387	530.0	1.1153	4	70%	0	0	0
Cloudtail India	5152.00	1,299,289	557.0	1.1212	4.5	92%	1	1	1
Sunrise Book store	5200.00	1,359	605.0	1.1317	3.5	61%	0	0	0
Sunrise Book store	5269.00	1,359	674.0	1.1467	3.5	61%	0	0	0
anybooks india	12752.00	45	8157.0	2.7752	4.5	96%	0	0	0
ALL INDIA BOOK STORE	15000.00	9	10405.0	3.2644	3.5	67%	0	0	0
