Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	594.00	1,524	72.52	1.1391	3.5	67%	0	0	0
MK BOOKS INDIA	594.00	2,247	72.52	1.1391	2.5	34%	0	0	0
Amazing_Buy	596.48	17,786	75.0	1.1438	4.5	95%	1	0	0
uRead-Store	596.48	25,134	75.0	1.1438	4.5	92%	1	0	1
Inetrade India	521.48	3,253	0.0	1.0	4	75%	0	0	0
AskTech Books	523.00	2	1.52	1.0029	2.5	50%	0	0	0
Bookflow	629.10	3,100	107.62	1.2064	3.5	67%	0	0	0
BooksRaja	577.00	171	55.52	1.1065	4.5	85%	0	0	0
BOOK CENTRE	632.00	862	110.52	1.2119	4	81%	0	0	0
Vaishno Books Store	622.11	7	100.63	1.193	4.5	86%	0	0	0
Bookflow	629.10	3,100	107.62	1.2064	3.5	67%	0	0	0
Bookswagon	1630.00	6,382	1108.52	3.1257	4	70%	0	0	0
Sunrise Book store	1625.00	1,357	1103.52	3.1161	3.5	61%	0	0	0
Bookswagon	1861.00	6,382	1339.52	3.5687	4	70%	0	0	0
B2A UK	1931.00	6,928	1409.52	3.7029	4.5	83%	0	0	0
Bookswagon	1988.00	6,382	1466.52	3.8122	4	70%	0	0	0
SmartGlobal	2048.00	212	1526.52	3.9273	3	50%	0	0	0
Sunrise Book store	1957.00	1,357	1435.52	3.7528	3.5	61%	0	0	0
