Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bookswagon	986.00	6,386	0.0	1.0	4	70%	0	0	0
Cloudtail India	1145.00	1,299,314	159.0	1.1613	4.5	92%	1	1	1
Atlantic Publishers and Distributors	1193.00	14,541	207.0	1.2099	4.5	94%	0	0	0
Bookswagon	1269.00	6,386	283.0	1.287	4	70%	0	0	0
Atlantic Publishers and Distributors	1183.00	14,541	197.0	1.1998	4.5	94%	0	0	0
Peacockbooks	1234.00	2,801	248.0	1.2515	4.5	92%	0	0	0
Sunrise Book store	1361.00	1,360	375.0	1.3803	3.5	61%	0	0	0
Sunrise Book store	1266.00	1,360	280.0	1.284	3.5	61%	0	0	0
Fast Media 2	1821.21	6,006	835.21	1.8471	4	72%	0	0	0
D R	2176.00	12,168	1190.0	2.2069	4	82%	0	0	0
