Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MEDIAMATICS	2999.00	608	31.0	1.0104	4	82%	0	0	1
Atlantic Publishers and Distributors	2968.00	14,538	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	3042.00	2,801	74.0	1.0249	4.5	92%	0	0	0
Book eHub	3141.00	32	173.0	1.0583	4	74%	0	0	0
Bookswagon	3417.00	6,382	449.0	1.1513	4	70%	0	0	0
Sunrise Book store	3329.00	1,357	361.0	1.1216	3.5	61%	0	0	0
B2A UK	3814.00	6,928	846.0	1.285	4.5	83%	0	0	0
Bookswagon	3925.00	6,382	957.0	1.3224	4	70%	0	0	0
Sunrise Book store	4062.00	1,357	1094.0	1.3686	3.5	61%	0	0	0
etohfa	5921.00	23	2953.0	1.9949	5	100%	0	0	0
