Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
KING BOOKS	199.00	38	0.0	1.0	4.5	96%	0	0	0
NOBEL BOOKS CENTER	249.00	12	50.0	1.2513	4.5	92%	0	0	0
Cloudtail India	307.00	1,299,346	108.0	1.5427	4.5	92%	1	1	1
ROYAL BOOKS	307.00	25	108.0	1.5427	4.5	86%	0	0	0
uRead-Store	308.00	25,160	109.0	1.5477	4.5	92%	1	0	0
dealstar	314.00	6,603	115.0	1.5779	4.5	85%	0	0	0
R-our Book	299.00	1,305	100.0	1.5025	4	76%	0	0	0
Amazing_Buy	364.00	17,791	165.0	1.8291	4.5	95%	1	0	0
AskTech Books	308.00	2	109.0	1.5477	2.5	50%	0	0	0
HERITAGE PUBLISHERS	375.00	783	176.0	1.8844	4.5	94%	0	0	0
SRBOOKWORLD	388.00	404	189.0	1.9497	4.5	93%	0	0	0
The Bookhive	319.20	43	120.2	1.604	4	80%	0	0	0
Inetrade India	326.48	3,258	127.48	1.6406	4	75%	0	0	0
Skycart	331.00	479	132.0	1.6633	4.5	90%	0	0	0
Resource book store	339.00	1	140.0	1.7035	5	100%	0	0	0
NS DISTRIBUTOR	365.00	7	166.0	1.8342	4	86%	0	0	0
MK BOOKS INDIA	424.00	2,249	225.0	2.1307	2.5	34%	0	0	0
BookAdda	355.00	365	156.0	1.7839	3	46%	0	0	0
Bookflow	434.13	3,100	235.13	2.1816	3.5	68%	0	0	0
Goodread Bookstore	364.00	579	165.0	1.8291	5	97%	0	0	0
RSONS	369.00	481	170.0	1.8543	4.5	84%	0	0	0
ABRB	444.00	60	245.0	2.2312	4	82%	0	0	0
Sunrise Book store	375.00	1,360	176.0	1.8844	3.5	61%	0	0	0
Comma365	415.00	2,242	216.0	2.0854	4.5	95%	0	0	0
Randomindia	384.00	9	185.0	1.9296	3.5	67%	0	0	0
Kushii Radiance Bookshop	380.00	63	181.0	1.9095	4.5	84%	0	0	0
Suryan Books	399.00	39	200.0	2.005	4.5	95%	0	0	0
BW ENTERPRISES	385.00	44	186.0	1.9347	4	79%	0	0	0
Winmaarc	485.00	118	286.0	2.4372	3.5	68%	0	0	0
ScribbleGraffito	409.18	29	210.18	2.0562	4.5	91%	0	0	0
A to Z Book House	399.00	1,275	200.0	2.005	3	45%	0	0	0
Booksmandi	400.00	2,531	201.0	2.0101	4.5	89%	0	0	0
V5MARK	395.00	8	196.0	1.9849	4	75%	0	0	0
Wish Your Book	424.15		225.15	2.1314			0	0	0
Special Library	433.00	57	234.0	2.1759	4	74%	0	0	0
Abhinav Books Store	439.12	60	240.12	2.2066	3	53%	0	0	0
Browsers' Lounge	477.00	122	278.0	2.397	4.5	96%	0	0	0
Books-a-zillion	449.10	89	250.1	2.2568	4	82%	0	0	0
Ambe Books	447.26	2	248.26	2.2475	3	50%	0	0	0
Ginni Books	447.26	9	248.26	2.2475	4.5	89%	0	0	0
ROYAL BOOKS	319.00	25	120.0	1.603	4.5	86%	0	0	0
HERITAGE PUBLISHERS	379.00	783	180.0	1.9045	4.5	94%	0	0	0
Winmaarc	485.00	118	286.0	2.4372	3.5	68%	0	0	0
ROSHAN COLLECTION	454.92		255.92	2.286			0	0	0
SAI BOOKS	395.00	181	196.0	1.9849	3	46%	0	0	0
Books: The Destiny Maker	499.00	285	300.0	2.5075	4	68%	0	0	0
Atlantic Publishers and Distributors	616.00	14,542	417.0	3.0955	4.5	94%	0	0	0
Peacockbooks	670.00	2,803	471.0	3.3668	4.5	92%	0	0	0
Bookswagon	731.00	6,390	532.0	3.6734	4	70%	0	0	0
INFINITE BOOKS	1281.05	292	1082.05	6.4374	5	99%	0	0	0
ROYAL BOOKS	339.00	25	140.0	1.7035	4.5	86%	0	0	0
BW ENTERPRISES	399.00	44	200.0	2.005	4	79%	0	0	0
Abhinav Books Store	449.10	60	250.1	2.2568	3	53%	0	0	0
Ginni Books	447.33	9	248.33	2.2479	4.5	89%	0	0	0
Ambe Books	533.38	2	334.38	2.6803	3	50%	0	0	0
Ginni Books	533.48	9	334.48	2.6808	4.5	89%	0	0	0
SAI BOOKS	494.00	181	295.0	2.4824	3	46%	0	0	0
Bookswagon	731.00	6,390	532.0	3.6734	4	70%	0	0	0
Sunrise Book store	809.00	1,360	610.0	4.0653	3.5	61%	0	0	0
Sunrise Book store	710.00	1,360	511.0	3.5678	3.5	61%	0	0	0
Sunrise Book store	726.00	1,360	527.0	3.6482	3.5	61%	0	0	0
