Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
STM Traders Pvt Ltd	455.40	1,278	55.4	1.1385	4.5	89%	1	0	0
Indian Professional Library	460.00		60.0	1.15			0	0	0
SRS Book	454.00	80	54.0	1.135	4	74%	0	0	0
Swetha Books	400.00	14	0.0	1.0	3.5	57%	0	0	0
Bala Book Center	549.00	11	149.0	1.3725	3	45%	0	0	0
DIGITAL PRESS	590.00	66	190.0	1.475	3	58%	0	0	0
Repro Books-On-Demand	593.00	8,429	193.0	1.4825	4.5	94%	1	0	0
Gksbookstall	500.00	1	100.0	1.25	5	100%	0	0	0
ReproIndia	593.00	924	193.0	1.4825	4	79%	0	0	0
Books-a-zillion	659.00	89	259.0	1.6475	4	82%	0	0	0
Surya Photostate & Book Shop	760.00		360.0	1.9			0	0	0
Book eHub	985.00	32	585.0	2.4625	4	72%	0	0	0
