Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	306.00	25,138	47.55	1.184	4.5	92%	1	0	0
Cloudtail India	306.00	1,299,238	47.55	1.184	4.5	92%	1	1	1
Inetrade India	258.45	3,253	0.0	1.0	4	75%	0	0	0
MK BOOKS INDIA	336.00	2,247	77.55	1.3001	2.5	34%	0	0	0
Book Wise Darya Ganj	370.00	1,098	111.55	1.4316	4.5	89%	0	0	0
HSS TRADERS	335.00	43	76.55	1.2962	4	73%	0	0	0
Sunrise Book store	348.00	1,358	89.55	1.3465	3.5	61%	0	0	0
Seattle Store	310.00	82	51.55	1.1995	5	100%	0	0	0
Suryan Books	356.00	39	97.55	1.3774	4.5	95%	0	0	0
V5MARK	331.00	8	72.55	1.2807	4	75%	0	0	0
Books Tutorial	368.00	70	109.55	1.4239	4	73%	0	0	0
Education Centre	365.00	13	106.55	1.4123	2	23%	0	0	0
Books-a-zillion	395.00	89	136.55	1.5283	4	82%	0	0	0
Payal Books	3999.00	657	3740.55	15.473	3	51%	0	0	0
