Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
dealstar	622.00	6,596	22.0	1.0367	4.5	85%	0	0	0
Cloudtail India	680.00	1,299,238	80.0	1.1333	4.5	92%	1	1	1
uRead-Store	680.00	25,138	80.0	1.1333	4.5	92%	1	0	0
Amazing_Buy	680.00	17,787	80.0	1.1333	4.5	95%	1	0	0
mansion books	600.00	86	0.0	1.0	4.5	86%	0	0	0
JustBuyBooks	694.00	26	94.0	1.1567	3.5	69%	0	0	0
Comma365	700.00	2,242	100.0	1.1667	4.5	95%	0	0	0
sri book house	650.00	227	50.0	1.0833	4.5	93%	0	0	0
S R int Store	665.00		65.0	1.1083			0	0	0
The Bookhive	700.00	43	100.0	1.1667	4	80%	0	0	0
BW ENTERPRISES	683.00	44	83.0	1.1383	4	79%	0	0	0
Booksmandi	700.00	2,531	100.0	1.1667	4.5	89%	0	0	0
Browsers' Lounge	831.00	122	231.0	1.385	4.5	96%	0	0	0
Sunrise Book store	910.00	1,358	310.0	1.5167	3.5	61%	0	0	0
Kushii Radiance Bookshop	832.00	63	232.0	1.3867	4.5	84%	0	0	0
Bookswagon	969.00	6,382	369.0	1.615	4	70%	0	0	0
A to Z Book House	875.00	1,275	275.0	1.4583	3	46%	0	0	0
D R	1504.00	12,168	904.0	2.5067	4	82%	0	0	0
INFINITE BOOKS	1512.82	287	912.82	2.5214	5	99%	0	0	0
Fast Media 2	1876.04	6,006	1276.04	3.1267	4	72%	0	0	0
Bookswagon	1141.00	6,382	541.0	1.9017	4	70%	0	0	0
Sunrise Book store	1114.00	1,358	514.0	1.8567	3.5	61%	0	0	0
