Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bala Book Center	299.00	11	0.0	1.0	3	45%	0	0	0
SRS Book	319.00	80	20.0	1.0669	4	74%	0	0	0
KPS BOOKS WORLD	370.00	38	71.0	1.2375	4.5	89%	0	0	0
Indian Professional Library	375.00		76.0	1.2542			0	0	0
star books trivandrum	300.00	84	1.0	1.0033	4	73%	0	0	0
SRS Book	399.00	80	100.0	1.3344	4	74%	0	0	0
RA Books	580.00	5	281.0	1.9398	4.5	100%	0	0	0
DIGITAL PRESS	585.00	66	286.0	1.9565	3	58%	0	0	0
Cloudtail India	630.00	1,299,285	331.0	2.107	4.5	92%	1	1	0
Saibookdepot	559.00	43	260.0	1.8696	3	44%	0	0	0
The Best Book Store	599.00	55	300.0	2.0033	3.5	54%	0	0	0
Commercial House	650.00	4	351.0	2.1739	5	100%	0	0	0
uRead-Store	800.00	25,151	501.0	2.6756	4.5	92%	1	0	0
ReaderBooks	723.00	442	424.0	2.4181	4	72%	0	0	0
Comma365	798.00	2,242	499.0	2.6689	4.5	95%	0	0	0
Inetrade India	771.01	3,255	472.01	2.5786	4	75%	0	0	0
O_Store	712.58	593	413.58	2.3832	4.5	87%	0	0	0
MK BOOKS INDIA	869.00	2,249	570.0	2.9064	2.5	34%	0	0	0
Sunrise Book store	728.00	1,359	429.0	2.4348	3.5	61%	0	0	0
Kushii Radiance Bookshop	783.00	63	484.0	2.6187	4.5	84%	0	0	0
BooksRaja	779.00	171	480.0	2.6054	4.5	85%	0	0	0
V5MARK	790.00	8	491.0	2.6421	4	75%	0	0	0
radhika A communication	825.00	29	526.0	2.7592	4	77%	0	0	0
Ebookstore	934.00	522	635.0	3.1237	4.5	85%	0	0	0
BOOK CENTRE	861.00	862	562.0	2.8796	4	81%	0	0	0
Books-a-zillion	869.00	89	570.0	2.9064	4	82%	0	0	0
ALL INDIA BOOK STORE	888.00	9	589.0	2.9699	3.5	67%	0	0	0
Booksmandi	869.00	2,531	570.0	2.9064	4.5	89%	0	0	0
Books Cloud	910.00	1	611.0	3.0435	1	0%	0	0	0
SAI BOOKS	860.00	181	561.0	2.8763	3	46%	0	0	0
Bala Book Center	349.00	11	50.0	1.1672	3	45%	0	0	0
Sunrise Book store	748.00	1,359	449.0	2.5017	3.5	61%	0	0	0
BooksRaja	779.00	171	480.0	2.6054	4.5	85%	0	0	0
Books-a-zillion	869.00	89	570.0	2.9064	4	82%	0	0	0
Book eHub	1159.00	32	860.0	3.8763	4	72%	0	0	0
ASIAN TREASURES	1180.00	18	881.0	3.9465	4.5	94%	0	0	0
Speedy_Books	1331.00	490	1032.0	4.4515	4.5	81%	0	0	0
