Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
DONE DEAL	375.00	327	0.0	1.0	4.5	98%	0	0	0
FRESH ENTERPRISE	569.00		194.0	1.5173			0	0	0
Cloudtail India	619.00	1,299,289	244.0	1.6507	4.5	92%	1	1	1
books at door	550.00		175.0	1.4667			0	0	0
Mittal Books India	687.00	15,729	312.0	1.832	4.5	95%	1	0	0
Inetrade India	615.12	3,256	240.12	1.6403	4	75%	0	0	0
uRead-Store	724.00	25,152	349.0	1.9307	4.5	92%	1	0	0
ReaderBooks	658.00	442	283.0	1.7547	4	73%	0	0	0
Technical Book	551.00	53	176.0	1.4693	3.5	62%	0	0	0
Shopbyheart	679.00	23	304.0	1.8107	4	78%	0	0	0
MK BOOKS INDIA	779.00	2,249	404.0	2.0773	2.5	34%	0	0	0
Sunrise Book store	664.00	1,359	289.0	1.7707	3.5	61%	0	0	0
O_Store	638.78	593	263.78	1.7034	4.5	87%	0	0	0
Education Centre	679.00	13	304.0	1.8107	2	23%	0	0	0
Kushii Radiance Bookshop	702.00	63	327.0	1.872	4.5	84%	0	0	0
BooksRaja	706.00	171	331.0	1.8827	4.5	85%	0	0	0
radhika A communication	740.00	29	365.0	1.9733	4	77%	0	0	0
V5MARK	713.00	8	338.0	1.9013	4	75%	0	0	0
Mirza Azharuddin	799.00	12	424.0	2.1307	3	50%	0	0	0
Booksmandi	741.00	2,531	366.0	1.976	4.5	89%	0	0	0
BOOK CENTRE	777.00	862	402.0	2.072	4	81%	0	0	0
Books-a-zillion	779.00	89	404.0	2.0773	4	82%	0	0	0
ALL INDIA BOOK STORE	786.00	9	411.0	2.096	3.5	67%	0	0	0
Shivank Books	749.00	79	374.0	1.9973	4	78%	0	0	0
SHIVAYA BOOKS	779.00	12	404.0	2.0773	2.5	33%	0	0	0
SAI BOOKS	741.00	181	366.0	1.976	3	46%	0	0	0
Ebookstore	1024.00	522	649.0	2.7307	4.5	85%	0	0	0
Book eHub	1085.00	32	710.0	2.8933	4	72%	0	0	0
ASIAN TREASURES	1100.00	18	725.0	2.9333	4.5	94%	0	0	0
Speedy_Books	1107.00	490	732.0	2.952	4.5	81%	0	0	0
Shopbyheart	679.00	23	304.0	1.8107	4	78%	0	0	0
Technical Book	595.00	53	220.0	1.5867	3.5	62%	0	0	0
Sunrise Book store	682.00	1,359	307.0	1.8187	3.5	61%	0	0	0
BooksRaja	706.00	171	331.0	1.8827	4.5	85%	0	0	0
Books-a-zillion	779.00	89	404.0	2.0773	4	82%	0	0	0
SAI BOOKS	771.00	181	396.0	2.056	3	46%	0	0	0
