Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	1931.00	14,537	1.0	1.0005	4.5	94%	0	0	0
Bookswagon	1971.00	6,377	41.0	1.0212	4	70%	0	0	1
Atlantic Publishers and Distributors	1930.00	14,537	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	1982.00	2,801	52.0	1.0269	4.5	92%	0	0	0
Bookswagon	1988.00	6,377	58.0	1.0301	4	70%	0	0	1
B2A UK	2080.00	6,928	150.0	1.0777	4.5	83%	0	0	0
Sunrise Book store	1949.00	1,356	19.0	1.0098	3.5	61%	0	0	0
Sunrise Book store	2362.00	1,356	432.0	1.2238	3.5	61%	0	0	0
Fast Media 2	2911.92	6,005	981.92	1.5088	4	72%	0	0	0
Bookswagon	2166.00	6,377	236.0	1.1223	4	70%	0	0	1
