Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Rachna Associate	229.00		0.0	1.0			0	0	0
Read factor	395.00	1,528	166.0	1.7249	3.5	67%	0	0	0
PKS RETAIL	406.00	4	177.0	1.7729	5	100%	0	0	0
World500	407.00	3,267	178.0	1.7773	4	76%	0	0	0
Amazing_Buy	410.00	17,787	181.0	1.7904	4.5	95%	1	0	1
star Book House Hyd	350.00	73	121.0	1.5284	3.5	61%	0	0	0
Inetrade India	391.89	3,254	162.89	1.7113	4	75%	0	0	0
Buy Amazing Books	499.00	3,555	270.0	2.179	3	51%	0	0	0
MK BOOKS INDIA	509.00	2,247	280.0	2.2227	2.5	34%	0	0	0
Sri Ganesha Books	431.00	382	202.0	1.8821	4	82%	0	0	0
FOUNTAINHEAD	431.00	98	202.0	1.8821	4.5	91%	0	0	0
AskTech Books	451.00	2	222.0	1.9694	2.5	50%	0	0	0
BSK Book	489.00	160	260.0	2.1354	3.5	61%	0	0	0
A Mind's Bookstore	437.00	1,409	208.0	1.9083	4.5	89%	0	0	0
MONOBO BOOKS	437.00	117	208.0	1.9083	4.5	86%	0	0	0
Shreeganesh16	449.00	27	220.0	1.9607	4.5	83%	0	0	0
Book store01	499.00	14	270.0	2.179	3.5	57%	0	0	0
O_Store	449.25	593	220.25	1.9618	4.5	87%	0	0	0
SBM Enterprises	443.26	48	214.26	1.9356	4	75%	0	0	0
ReadAhead	539.00	213	310.0	2.3537	4	79%	0	0	0
Bookflow	539.10	3,100	310.1	2.3541	3.5	68%	0	0	0
The Bookhive	479.20	43	250.2	2.0926	4	80%	0	0	0
dealstar	556.00	6,596	327.0	2.4279	4.5	85%	0	0	0
BW ENTERPRISES	467.00	44	238.0	2.0393	4	79%	0	0	0
HERITAGE PUBLISHERS	569.00	783	340.0	2.4847	4.5	94%	0	0	0
S B T books	554.00	113	325.0	2.4192	4.5	88%	0	0	0
W S Retaill	553.00	34	324.0	2.4148	3.5	68%	0	0	0
BooksRaja	474.00	171	245.0	2.0699	4.5	85%	0	0	0
Skycart	500.00	479	271.0	2.1834	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	268.17	2.171	4.5	91%	0	0	0
Rama BOOKS	467.22	6	238.22	2.0403	3.5	67%	0	0	0
Sunrise Book store	458.00	1,358	229.0	2.0	3.5	61%	0	0	0
amazingbuy_	499.00	1	270.0	2.179	5	100%	0	0	0
Booksmandi	480.00	2,531	251.0	2.0961	4.5	89%	0	0	0
Suraj Trading - Express Delivery	487.00	48	258.0	2.1266	3	53%	0	0	0
Santusti Enterprises	599.00	26	370.0	2.6157	4	81%	0	0	0
CrossWord Books	551.00	116	322.0	2.4061	5	95%	0	0	0
BookInc	540.00	17	311.0	2.3581	4.5	94%	0	0	0
BookAdda	551.00	365	322.0	2.4061	3	46%	0	0	0
BOOKKR	599.00	5	370.0	2.6157	3.5	60%	0	0	0
Books-a-zillion	539.10	89	310.1	2.3541	4	82%	0	0	0
Browsers' Lounge	576.00	122	347.0	2.5153	4.5	96%	0	0	0
Kushii Radiance Bookshop	570.00	63	341.0	2.4891	4.5	84%	0	0	0
A to Z Book House	599.00	1,275	370.0	2.6157	3	46%	0	0	0
Ambe Books	619.55	2	390.55	2.7055	3	50%	0	0	0
Ginni Books	619.55	9	390.55	2.7055	4.5	89%	0	0	0
Bookswagon	784.00	6,382	555.0	3.4236	4	70%	0	0	0
SAI BOOKS	593.00	181	364.0	2.5895	3	46%	0	0	0
MidLand_Books	799.00		570.0	3.4891			0	0	0
B2A UK	1152.00	6,928	923.0	5.0306	4.5	83%	0	0	0
Rachna Associate	399.00		170.0	1.7424			0	0	0
S B T books	557.00	113	328.0	2.4323	4.5	88%	0	0	0
W S Retaill	553.00	34	324.0	2.4148	3.5	68%	0	0	0
BooksRaja	474.00	171	245.0	2.0699	4.5	85%	0	0	0
ScribbleGraffito	497.17	29	268.17	2.171	4.5	91%	0	0	0
Sunrise Book store	458.00	1,358	229.0	2.0	3.5	61%	0	0	0
CrossWord Books	551.00	116	322.0	2.4061	5	95%	0	0	0
INFINITE BOOKS	1228.32	287	999.32	5.3638	5	99%	0	0	0
D R	2067.00	12,169	1838.0	9.0262	4	82%	0	0	0
etohfa	2128.00	23	1899.0	9.2926	5	100%	0	0	0
BookInc	540.00	17	311.0	2.3581	4.5	94%	0	0	0
SAI BOOKS	593.00	181	364.0	2.5895	3	46%	0	0	0
Sunrise Book store	806.00	1,358	577.0	3.5197	3.5	61%	0	0	0
Sunrise Book store	746.00	1,358	517.0	3.2576	3.5	61%	0	0	0
etohfa	2375.00	23	2146.0	10.3712	5	100%	0	0	0
