Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MILLENNIALS MEDIA	750.60	40	0.0	1.0	5	100%	0	0	1
INFINITE BOOKS	755.70	288	5.1	1.0068	5	99%	0	0	0
VIVA MARKETING	895.00	113	144.4	1.1924	4	67%	0	0	0
Atlantic Publishers and Distributors	864.00	14,540	113.4	1.1511	4.5	94%	0	0	0
Source Books Pvt Ltd	958.00	1,125	207.4	1.2763	4	82%	0	0	0
Read & Become	885.00	15	134.4	1.1791	4.5	93%	0	0	0
Peacockbooks	919.00	2,801	168.4	1.2244	4.5	92%	0	0	0
Bookswagon	976.00	6,387	225.4	1.3003	4	70%	0	0	0
Sunrise Book store	954.00	1,358	203.4	1.271	3.5	61%	0	0	0
MK BOOKS INDIA	1198.00	2,248	447.4	1.5961	2.5	34%	0	0	0
Bookswagon	976.00	6,387	225.4	1.3003	4	70%	0	0	0
Bookswagon	979.00	6,387	228.4	1.3043	4	70%	0	0	0
Atlantic Publishers and Distributors	1120.00	14,540	369.4	1.4921	4.5	94%	0	0	0
Sunrise Book store	955.00	1,358	204.4	1.2723	3.5	61%	0	0	0
A to Z Book House	1196.00	1,275	445.4	1.5934	3	46%	0	0	0
Books-a-zillion	1197.85	89	447.25	1.5959	4	82%	0	0	0
SAI BOOKS	1181.00	181	430.4	1.5734	3	46%	0	0	0
D R	1477.00	12,169	726.4	1.9678	4	82%	0	0	0
Fast Media 2	1611.17	6,005	860.57	2.1465	4	72%	0	0	0
RCPL Book$ Masion	2865.00		2114.4	3.8169			0	0	0
Bookswagon	1224.00	6,387	473.4	1.6307	4	70%	0	0	0
Bookswagon	1260.00	6,387	509.4	1.6787	4	70%	0	0	0
Sunrise Book store	1288.00	1,358	537.4	1.716	3.5	61%	0	0	0
Sunrise Book store	1269.00	1,358	518.4	1.6906	3.5	61%	0	0	0
