Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	327.00	1,517	3.14	1.0097	3.5	67%	0	0	0
World500	337.00	3,248	13.14	1.0406	4	76%	0	0	0
Buy Amazing Books	347.00	3,536	23.14	1.0715	3	51%	0	0	0
Essay Shopping Malls	352.00	52	28.14	1.0869	4	75%	0	0	0
MK BOOKS INDIA	371.00	2,245	47.14	1.1456	2.5	34%	0	0	0
Cloudtail India	383.00	1,299,158	59.14	1.1826	4.5	92%	1	1	1
Inetrade India	323.86	3,249	0.0	1.0	4	75%	0	0	0
E S CORPORATION	380.00	211	56.14	1.1733	4.5	86%	0	0	0
R K Books	371.00	1,597	47.14	1.1456	3.5	69%	0	0	0
Winmaarc	442.00	118	118.14	1.3648	3.5	68%	0	0	0
CNA Bookstore	340.00	477	16.14	1.0498	4.5	95%	0	0	0
DSR Book Distributors	371.00	21	47.14	1.1456	4.5	85%	0	0	0
BooksRaja	388.00	171	64.14	1.198	4.5	85%	0	0	0
Special Library	430.00	57	106.14	1.3277	4	74%	0	0	0
Sunrise Book store	415.00	1,356	91.14	1.2814	3.5	61%	0	0	0
Book Palace	421.00	11	97.14	1.2999	3.5	55%	0	0	0
Books-a-zillion	460.35	89	136.49	1.4214	4	82%	0	0	0
SAnSRack	495.00	14	171.14	1.5284	4	79%	0	0	0
Amazing Publishers & Distributing Network	495.00	8	171.14	1.5284	4.5	88%	0	0	0
A - Z Books Online	495.00	104	171.14	1.5284	4.5	93%	0	0	0
Bookswagon	1773.00	6,375	1449.14	5.4746	4	70%	0	0	0
Sunrise Book store	1885.00	1,356	1561.14	5.8204	3.5	61%	0	0	0
Bookswagon	1886.00	6,375	1562.14	5.8235	4	70%	0	0	0
B2A UK	1938.00	6,928	1614.14	5.9841	4.5	83%	0	0	0
Sunrise Book store	1791.00	1,356	1467.14	5.5302	3.5	61%	0	0	0
B2A UK	2006.00	6,928	1682.14	6.194	4.5	83%	0	0	0
