Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	602.00	3,267	0.0	1.0	4	76%	0	0	0
Cloudtail India	652.00	1,299,246	50.0	1.0831	4.5	92%	1	1	1
Amazing_Buy	653.00	17,787	51.0	1.0847	4.5	95%	1	0	0
Inetrade India	608.69	3,254	6.69	1.0111	4	75%	0	0	0
Crossword Bookstores Ltd	720.00	2,475	118.0	1.196	4	74%	0	0	0
MONOBO BOOKS	656.00	117	54.0	1.0897	4.5	86%	0	0	0
S R int Store	683.24		81.24	1.135			0	0	0
Atlantic Publishers and Distributors	779.00	14,538	177.0	1.294	4.5	94%	1	0	0
fairdealenterprise	674.25	44	72.25	1.12	2	27%	0	0	0
Book store01	839.00	14	237.0	1.3937	3.5	57%	0	0	0
CrossWord Books	827.00	116	225.0	1.3738	5	95%	0	0	0
BOOKKR	899.00	5	297.0	1.4934	3.5	60%	0	0	0
Peacockbooks	905.00	2,801	303.0	1.5033	4.5	92%	0	0	0
Bookswagon	982.00	6,382	380.0	1.6312	4	70%	0	0	0
A to Z Book House	899.00	1,275	297.0	1.4934	3	46%	0	0	0
Sunrise Book store	954.00	1,358	352.0	1.5847	3.5	61%	0	0	0
Universal Books House	1099.00	1	497.0	1.8256	5	100%	0	0	0
MK BOOKS INDIA	1372.00	2,247	770.0	2.2791	2.5	34%	0	0	0
B2A UK	1395.00	6,928	793.0	2.3173	4.5	83%	0	0	0
SmartGlobal	1873.00	212	1271.0	3.1113	3	50%	0	0	0
Atlantic Publishers and Distributors	850.00	14,538	248.0	1.412	4.5	94%	0	0	0
Bookswagon	982.00	6,382	380.0	1.6312	4	70%	0	0	0
Sunrise Book store	1161.00	1,358	559.0	1.9286	3.5	61%	0	0	0
