Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	395.00	1,516	0.0	1.0	3.5	67%	0	0	0
World500	401.00	3,248	6.0	1.0152	4	76%	0	0	0
Amazing_Buy	413.00	17,781	18.0	1.0456	4.5	95%	1	0	0
uRead-Store	413.00	25,127	18.0	1.0456	4.5	92%	1	0	1
Mumbai gift corner	501.00	717	106.0	1.2684	4.5	90%	0	0	0
MK BOOKS INDIA	509.00	2,245	114.0	1.2886	2.5	34%	0	0	0
AskTech Books	451.00	2	56.0	1.1418	2.5	50%	0	0	0
siddharth books	450.00	51	55.0	1.1392	2.5	36%	0	0	0
Book Selection Centre	440.00	136	45.0	1.1139	4.5	96%	0	0	0
Inetrade India	456.07	3,249	61.07	1.1546	4	75%	0	0	0
Bookflow	533.11	3,100	138.11	1.3496	3.5	67%	0	0	0
Sri Ganesha Books	431.00	382	36.0	1.0911	4	82%	0	0	0
FOUNTAINHEAD	431.00	98	36.0	1.0911	4.5	91%	0	0	0
ReadAhead	539.00	213	144.0	1.3646	4	79%	0	0	0
SBM Enterprises	443.26	48	48.26	1.1222	4	75%	0	0	0
A Mind's Bookstore	437.00	1,409	42.0	1.1063	4.5	89%	0	0	0
The Bookhive	479.20	43	84.2	1.2132	4	80%	0	0	0
BSK Book	564.00	159	169.0	1.4278	3.5	60%	0	0	0
Goodread Bookstore	569.00	579	174.0	1.4405	5	97%	1	0	0
HERITAGE PUBLISHERS	569.00	783	174.0	1.4405	4.5	94%	0	0	0
Skycart	500.00	479	105.0	1.2658	4.5	90%	0	0	0
Comma365	537.00	2,242	142.0	1.3595	4.5	95%	0	0	0
ScribbleGraffito	497.17	29	102.17	1.2587	4.5	91%	0	0	0
Browsers' Lounge	479.20	122	84.2	1.2132	4.5	96%	0	0	0
Book store01	559.00	11	164.0	1.4152	3	45%	0	0	0
fairdealenterprise	449.25	41	54.25	1.1373	2.5	34%	0	0	0
S B T books	554.00	113	159.0	1.4025	4.5	88%	0	0	0
W S Retaill	553.00	34	158.0	1.4	3.5	69%	0	0	0
Buy Amazing Books	599.00	3,536	204.0	1.5165	3	51%	0	0	0
CrossWord Books	551.00	116	156.0	1.3949	5	95%	0	0	0
Booksmandi	480.00	2,530	85.0	1.2152	4.5	89%	0	0	0
TODAY READERS	449.00	23	54.0	1.1367	4.5	82%	0	0	0
Shreeganesh16	539.00	27	144.0	1.3646	4.5	83%	0	0	0
BookInc	540.00	17	145.0	1.3671	4.5	94%	0	0	0
O_Store	461.23	593	66.23	1.1677	4.5	87%	0	0	0
BookAdda	551.00	365	156.0	1.3949	3	47%	0	0	0
Venture360	569.00	25	174.0	1.4405	3	52%	0	0	0
BOOKKR	599.00	5	204.0	1.5165	3.5	60%	0	0	0
BW ENTERPRISES	467.00	44	72.0	1.1823	4	79%	0	0	0
The Grand_Store	580.00	10	185.0	1.4684	3	50%	0	0	0
Bookflow	533.11	3,100	138.11	1.3496	3.5	67%	0	0	0
A to Z Book House	599.00	1,275	204.0	1.5165	3	46%	0	0	0
Blossom book house	699.00	58	304.0	1.7696	4	74%	0	0	0
Ambe Books	652.68	2	257.68	1.6524	3	50%	0	0	0
Ginni Books	652.68	9	257.68	1.6524	4.5	89%	0	0	0
iBooks	759.00		364.0	1.9215			0	0	0
PKS RETAIL	909.00	4	514.0	2.3013	5	100%	0	0	0
Bookswagon	929.00	6,375	534.0	2.3519	4	70%	0	0	0
Sunrise Book store	916.00	1,356	521.0	2.319	3.5	61%	0	0	0
B2A UK	1393.00	6,928	998.0	3.5266	4.5	83%	0	0	0
BSK Book	564.00	159	169.0	1.4278	3.5	60%	0	0	0
