Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	395.00	1,299,166	3.11	1.0079	4.5	92%	1	1	1
uRead-Store	395.00	25,130	3.11	1.0079	4.5	92%	1	0	0
Read factor	395.00	1,517	3.11	1.0079	3.5	67%	0	0	0
World500	401.00	3,248	9.11	1.0232	4	76%	0	0	0
Repro Books on Demand	419.00	3,418	27.11	1.0692	4.5	93%	1	0	0
Buy Amazing Books	419.00	3,536	27.11	1.0692	3	51%	0	0	0
Inetrade India	391.89	3,250	0.0	1.0	4	75%	0	0	0
Crossword Bookstores Ltd	479.00	2,475	87.11	1.2223	4	74%	0	0	0
R-our Book	449.00	1,304	57.11	1.1457	4	78%	0	0	0
Mumbai gift corner	501.00	717	109.11	1.2784	4.5	90%	0	0	0
MK BOOKS INDIA	509.00	2,247	117.11	1.2988	2.5	34%	0	0	0
RSONS	443.00	481	51.11	1.1304	4.5	84%	0	0	0
Bookflow	521.13	3,100	129.24	1.3298	3.5	67%	0	0	0
BooksRaja	453.00	171	61.11	1.1559	4.5	85%	0	0	0
Royal500	531.00	875	139.11	1.355	4.5	92%	0	0	0
Randomindia	461.00	9	69.11	1.1764	3.5	67%	0	0	0
Suryan Books	479.00	39	87.11	1.2223	4.5	95%	0	0	0
HERITAGE PUBLISHERS	563.00	783	171.11	1.4366	4.5	94%	0	0	0
BSK Book	564.00	159	172.11	1.4392	3.5	60%	0	0	0
V5MARK	466.00	8	74.11	1.1891	4	75%	0	0	0
A - Z Books Online	479.00	104	87.11	1.2223	4.5	93%	0	0	0
EXCELLENT BOOK SERVICE	479.20	12	87.31	1.2228	3	50%	0	0	0
MegaOnlineDeals	487.00	187	95.11	1.2427	4	79%	0	0	0
Suraj Trading - Express Delivery	487.00	48	95.11	1.2427	3	53%	0	0	0
Resource book store	509.00	1	117.11	1.2988	5	100%	0	0	0
NS DISTRIBUTOR	553.00	7	161.11	1.4111	4	86%	0	0	0
Abhinav Books Store	527.12	60	135.23	1.3451	3	54%	0	0	0
Winmaarc	630.00	118	238.11	1.6076	3.5	68%	0	0	0
Books-a-zillion	539.10	89	147.21	1.3756	4	82%	0	0	0
SansRack	599.00	1,050	207.11	1.5285	4.5	94%	0	0	0
Abhinav Books Store	539.10	60	147.21	1.3756	3	54%	0	0	0
Winmaarc	630.00	118	238.11	1.6076	3.5	68%	0	0	0
The Grand_Store	600.00	10	208.11	1.531	3	50%	0	0	0
A to Z Book House	599.00	1,275	207.11	1.5285	3	46%	0	0	0
Ambe Books	619.52	2	227.63	1.5809	3	50%	0	0	0
Ginni Books	619.62	9	227.73	1.5811	4.5	89%	0	0	0
Special Library	665.00	57	273.11	1.6969	4	74%	0	0	0
SAI BOOKS	593.00	181	201.11	1.5132	3	46%	0	0	0
