Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	574.00	1,299,168	115.0	1.2505	4.5	92%	1	1	1
siddharth books	500.00	51	41.0	1.0893	2.5	36%	0	0	0
uRead-Store	732.00	25,131	273.0	1.5948	4.5	92%	1	0	0
Payal Books	644.00	657	185.0	1.4031	3	51%	0	0	0
Source Books Pvt Ltd	746.00	1,125	287.0	1.6253	4	82%	0	0	0
VIVA MARKETING	746.00	113	287.0	1.6253	4	67%	0	0	0
All India Book House	800.00	2,957	341.0	1.7429	4.5	93%	1	0	0
Indian Gallery	459.00	471	0.0	1.0	3	52%	0	0	0
Saibookdepot	733.00	43	274.0	1.5969	3	44%	0	0	0
MK BOOKS INDIA	846.00	2,247	387.0	1.8431	2.5	34%	0	0	0
Inetrade India	812.93	3,250	353.93	1.7711	4	75%	0	0	0
fairdealenterprise	796.00	41	337.0	1.7342	2.5	34%	0	0	0
BooksRaja	850.00	171	391.0	1.8519	4.5	85%	0	0	0
Darth Vader	842.00	61	383.0	1.8344	4	77%	0	0	0
MANJU INTERNATIONAL	895.00	86	436.0	1.9499	4	79%	0	0	0
Rama BOOKS	835.80	6	376.8	1.8209	3.5	67%	0	0	0
BetterDeals	995.00	12	536.0	2.1678	5	100%	0	0	0
V5MARK	845.00	8	386.0	1.841	4	75%	0	0	0
radhika A communication	897.00	29	438.0	1.9542	4	78%	0	0	0
BookInc	936.00	17	477.0	2.0392	4.5	94%	0	0	0
BOOK CENTRE	952.00	862	493.0	2.0741	4	81%	0	0	0
Batra's Book collection	990.00		531.0	2.1569			0	0	0
A to Z Book House	995.00	1,275	536.0	2.1678	3	46%	0	0	0
Books-a-zillion	995.00	89	536.0	2.1678	4	82%	0	0	0
NS DISTRIBUTOR	955.00	7	496.0	2.0806	4	86%	0	0	0
SAI BOOKS	985.00	181	526.0	2.146	3	46%	0	0	0
ASIAN TREASURES	1187.00	18	728.0	2.5861	4.5	94%	0	0	0
Book eHub	1205.00	32	746.0	2.6253	4	74%	0	0	0
Speedy_Books	1275.00	489	816.0	2.7778	4.5	80%	0	0	0
The Grand_Store	1960.00	10	1501.0	4.2702	3	50%	0	0	0
Books-a-zillion	995.00	89	536.0	2.1678	4	82%	0	0	0
SAI BOOKS	985.00	181	526.0	2.146	3	46%	0	0	0
D R	3165.00	12,167	2706.0	6.8954	4	82%	0	0	0
