Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Global Book Store	1570.44	623	0.0	1.0	5	99%	1	0	1
Cloudtail India	1587.00	1,299,153	16.56	1.0105	4.5	92%	1	1	0
Sunrise Book store	1857.00	1,356	286.56	1.1825	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1821.00	14,537	250.56	1.1595	4.5	94%	0	0	0
Peacockbooks	1895.00	2,800	324.56	1.2067	4.5	92%	0	0	0
Bookswagon	2063.00	6,375	492.56	1.3136	4	70%	0	0	0
B2A UK	2104.00	6,928	533.56	1.3398	4.5	84%	0	0	0
INFINITE BOOKS	2297.59	282	727.15	1.463	5	99%	0	0	0
SmartGlobal	2493.00	212	922.56	1.5875	3	49%	0	0	0
Fast Media 2	2918.67	6,005	1348.23	1.8585	4	72%	0	0	0
Atlantic Publishers and Distributors	2054.00	14,537	483.56	1.3079	4.5	94%	0	0	0
Bookswagon	2058.00	6,375	487.56	1.3105	4	70%	0	0	0
Sunrise Book store	1971.00	1,356	400.56	1.2551	3.5	61%	0	0	0
Sunrise Book store	1975.00	1,356	404.56	1.2576	3.5	61%	0	0	0
Sunrise Book store	2738.00	1,356	1167.56	1.7435	3.5	61%	0	0	0
D R	3346.00	12,167	1775.56	2.1306	4	82%	0	0	0
Atlantic Publishers and Distributors	3600.00	14,537	2029.56	2.2924	4.5	94%	1	0	0
