Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Inetrade India	644.93	3,257	0.0	1.0	4	75%	0	0	0
Global Book Store	720.00	623	75.07	1.1164	5	99%	1	0	1
Cloudtail India	731.00	1,299,311	86.07	1.1335	4.5	92%	1	1	0
JustBuyBooks	955.00	27	310.07	1.4808	3.5	70%	0	0	0
MK BOOKS INDIA	1098.00	2,249	453.07	1.7025	2.5	34%	0	0	0
Sunrise Book store	1137.00	1,360	492.07	1.763	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1069.00	14,541	424.07	1.6575	4.5	94%	0	0	0
Peacockbooks	1121.00	2,801	476.07	1.7382	4.5	92%	0	0	0
Bookswagon	1177.00	6,386	532.07	1.825	4	70%	0	0	0
INFINITE BOOKS	1260.71	290	615.78	1.9548	5	99%	0	0	0
Sunrise Book store	942.00	1,360	297.07	1.4606	3.5	61%	0	0	0
JustBuyBooks	1272.00	27	627.07	1.9723	3.5	70%	0	0	0
Repro Books on Demand	1325.00	3,418	680.07	2.0545	4.5	93%	1	0	0
Bookflow	1530.00	3,100	885.07	2.3724	3.5	68%	0	0	0
Fast Media 2	1671.91	6,006	1026.98	2.5924	4	72%	0	0	0
G G	1877.00	4,510	1232.07	2.9104	4.5	86%	0	0	0
B2A UK	2035.00	6,928	1390.07	3.1554	4.5	83%	0	0	0
Doonmac	2088.00		1443.07	3.2376			0	0	0
etohfa	2098.00	23	1453.07	3.2531	5	100%	0	0	0
RCPL Book$ Masion	2426.00		1781.07	3.7616			0	0	0
Bookswagon	1231.00	6,386	586.07	1.9087	4	70%	0	0	0
Atlantic Publishers and Distributors	1266.00	14,541	621.07	1.963	4.5	94%	0	0	0
Bookswagon	1231.00	6,386	586.07	1.9087	4	70%	0	0	0
Sunrise Book store	1144.00	1,360	499.07	1.7738	3.5	61%	0	0	0
Sunrise Book store	1203.00	1,360	558.07	1.8653	3.5	61%	0	0	0
Repro Books on Demand	1509.00	3,418	864.07	2.3398	4.5	93%	1	0	0
Bookswagon	1769.00	6,386	1124.07	2.7429	4	70%	0	0	0
Sunrise Book store	1820.00	1,360	1175.07	2.822	3.5	61%	0	0	0
