Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
universal academy	540.00	184	4.0	1.0075	3.5	65%	0	0	0
Cloudtail India	556.00	1,299,262	20.0	1.0373	4.5	92%	1	1	1
Comma365	638.00	2,242	102.0	1.1903	4.5	95%	0	0	0
MK BOOKS INDIA	695.00	2,248	159.0	1.2966	2.5	34%	0	0	0
uRead-Store	715.00	25,140	179.0	1.334	4.5	92%	1	0	0
Rama BOOKS	583.80	6	47.8	1.0892	3.5	67%	0	0	0
O_Store	569.90	593	33.9	1.0632	4.5	87%	0	0	0
Technical Book	536.00	53	0.0	1.0	3.5	62%	0	0	0
Sunrise Book store	614.00	1,358	78.0	1.1455	3.5	61%	0	0	0
The Grand_Store	670.00	10	134.0	1.25	3	50%	0	0	0
BooksRaja	639.00	171	103.0	1.1922	4.5	85%	0	0	0
V5MARK	640.00	8	104.0	1.194	4	75%	0	0	0
BookAdda	695.00	365	159.0	1.2966	3	46%	0	0	0
MANJU INTERNATIONAL	695.00	86	159.0	1.2966	4	79%	0	0	0
Booksmandi	661.00	2,531	125.0	1.2332	4.5	89%	0	0	0
BOOK CENTRE	698.00	862	162.0	1.3022	4	81%	0	0	0
Manila Books Services	695.00	13	159.0	1.2966	4.5	92%	0	0	0
Ebookstore	799.00	522	263.0	1.4907	4.5	85%	0	0	0
Books-a-zillion	695.00	89	159.0	1.2966	4	82%	0	0	0
ASIAN TREASURES	875.00	18	339.0	1.6325	4.5	94%	0	0	0
Sunrise Book store	614.00	1,358	78.0	1.1455	3.5	61%	0	0	0
BooksRaja	639.00	171	103.0	1.1922	4.5	85%	0	0	0
Books-a-zillion	695.00	89	159.0	1.2966	4	82%	0	0	0
Sunrise Book store	695.00	1,358	159.0	1.2966	3.5	61%	0	0	0
SAI BOOKS	688.00	181	152.0	1.2836	3	46%	0	0	0
Book eHub	1015.00	32	479.0	1.8937	4	72%	0	0	0
Speedy_Books	1065.00	490	529.0	1.9869	4.5	81%	0	0	0
