Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	3160.00	14,537	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	3233.00	2,800	73.0	1.0231	4.5	92%	0	0	0
Bookswagon	3422.00	6,375	262.0	1.0829	4	70%	0	0	1
INFINITE BOOKS	3688.54	282	528.54	1.1673	5	99%	0	0	0
Cloudtail India	3719.00	1,299,158	559.0	1.1769	4.5	92%	1	1	0
Sunrise Book store	3698.00	1,356	538.0	1.1703	3.5	61%	0	0	0
Fast Media 2	4117.34	6,005	957.34	1.303	4	72%	0	0	0
Atlantic Publishers and Distributors	4218.00	14,537	1058.0	1.3348	4.5	94%	0	0	0
D R	4987.00	12,168	1827.0	1.5782	4	82%	0	0	0
etohfa	5361.00	23	2201.0	1.6965	5	100%	0	0	0
Bookswagon	4495.00	6,375	1335.0	1.4225	4	70%	0	0	1
Bookswagon	5046.00	6,375	1886.0	1.5968	4	70%	0	0	1
Sunrise Book store	4968.00	1,356	1808.0	1.5722	3.5	61%	0	0	0
