Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Buy Amazing Books	170.00	3,558	19.25	1.1277	3	51%	0	0	0
uRead-Store	225.00	25,152	74.25	1.4925	4.5	92%	1	0	1
ReadAhead	225.00	213	74.25	1.4925	4	79%	0	0	0
Bookflow	225.00	3,100	74.25	1.4925	3.5	68%	0	0	0
Inetrade India	150.75	3,256	0.0	1.0	4	75%	0	0	0
FOUNTAINHEAD	180.00	98	29.25	1.194	4.5	91%	0	0	0
Sri Ganesha Books	180.00	382	29.25	1.194	4	82%	0	0	0
Book store01	235.00	14	84.25	1.5589	3.5	57%	0	0	0
Suryan Books	200.00	39	49.25	1.3267	4.5	95%	0	0	0
Bargain Book	286.00	266	135.25	1.8972	4.5	98%	0	0	0
ScribbleGraffito	207.50	29	56.75	1.3765	4.5	91%	0	0	0
Royal500	288.00	882	137.25	1.9104	4.5	92%	0	0	0
Starmark	225.00	2,139	74.25	1.4925	3.5	68%	0	0	0
Darth Vader	225.00	61	74.25	1.4925	4	77%	0	0	0
V5MARK	216.00	8	65.25	1.4328	4	75%	0	0	0
BooksRaja	228.00	171	77.25	1.5124	4.5	85%	0	0	0
Books-a-zillion	250.00	89	99.25	1.6584	4	82%	0	0	0
SAI BOOKS	247.00	181	96.25	1.6385	3	46%	0	0	0
Bookswagon	562.00	6,387	411.25	3.728	4	70%	0	0	0
JustBuyBooks	652.00	26	501.25	4.325	3.5	69%	0	0	0
Bookswagon	608.00	6,387	457.25	4.0332	4	70%	0	0	0
Sunrise Book store	748.00	1,359	597.25	4.9619	3.5	61%	0	0	0
Sunrise Book store	557.00	1,359	406.25	3.6949	3.5	61%	0	0	0
JustBuyBooks	751.00	26	600.25	4.9818	3.5	69%	0	0	0
etohfa	1851.00	23	1700.25	12.2786	5	100%	0	0	0
