Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Sunrise Book store	898.00	1,356	5.0	1.0056	3.5	61%	0	0	0
Global Book Store	899.00	623	6.0	1.0067	5	99%	1	0	1
Atlantic Publishers and Distributors	893.00	14,537	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	1062.00	2,801	169.0	1.1892	4.5	92%	0	0	0
Bookswagon	1125.00	6,377	232.0	1.2598	4	70%	0	0	0
INFINITE BOOKS	1174.40	284	281.4	1.3151	5	99%	0	0	0
JustBuyBooks	1253.00	26	360.0	1.4031	3.5	69%	0	0	0
Fast Media 2	1410.41	6,005	517.41	1.5794	4	72%	0	0	0
SmartGlobal	1570.00	212	677.0	1.7581	3	50%	0	0	0
D R	1805.00	12,168	912.0	2.0213	4	82%	0	0	0
Sunrise Book store	982.00	1,356	89.0	1.0997	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1189.00	14,537	296.0	1.3315	4.5	94%	0	0	0
Bookswagon	1232.00	6,377	339.0	1.3796	4	70%	0	0	0
Sunrise Book store	1307.00	1,356	414.0	1.4636	3.5	61%	0	0	0
Sunrise Book store	1206.00	1,356	313.0	1.3505	3.5	61%	0	0	0
JustBuyBooks	1349.00	26	456.0	1.5106	3.5	69%	0	0	0
