Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Inetrade India	424.87	3,258	0.0	1.0	4	75%	0	0	0
Amazing_Buy	499.99	17,790	75.12	1.1768	4.5	95%	1	0	1
Bookflow	521.13	3,100	96.26	1.2266	3.5	68%	0	0	0
ScribbleGraffito	491.18	29	66.31	1.1561	4.5	91%	0	0	0
Atlantic Publishers and Distributors	668.00	14,542	243.13	1.5722	4.5	94%	0	0	0
Peacockbooks	723.00	2,803	298.13	1.7017	4.5	92%	0	0	0
Bookswagon	781.00	6,390	356.13	1.8382	4	70%	0	0	0
Sunrise Book store	804.00	1,360	379.13	1.8923	3.5	61%	0	0	0
B2A UK	1134.00	6,928	709.13	2.6691	4.5	83%	0	0	0
IndieCulture	3009.99		2585.12	7.0845			0	0	0
Bookswagon	789.00	6,390	364.13	1.857	4	70%	0	0	0
Sunrise Book store	751.00	1,360	326.13	1.7676	3.5	61%	0	0	0
Sunrise Book store	779.00	1,360	354.13	1.8335	3.5	61%	0	0	0
