Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	479.00	17,790	0.0	1.0	4.5	95%	1	0	1
World500	535.00	3,279	56.0	1.1169	4	76%	0	0	0
uRead-Store	552.00	25,154	73.0	1.1524	4.5	92%	1	0	0
Capsbookz	599.00		120.0	1.2505			0	0	0
R-our Book	599.00	1,305	120.0	1.2505	4	76%	0	0	0
RSONS	591.00	481	112.0	1.2338	4.5	84%	0	0	0
Mumbai gift corner	669.00	720	190.0	1.3967	4.5	89%	0	0	0
MK BOOKS INDIA	679.00	2,249	200.0	1.4175	2.5	34%	0	0	0
Inetrade India	608.66	3,256	129.66	1.2707	4	75%	0	0	0
Comma365	646.00	2,242	167.0	1.3486	4.5	95%	0	0	0
Book Selection Centre	600.00	136	121.0	1.2526	4.5	96%	0	0	0
Randomindia	615.00	9	136.0	1.2839	3.5	67%	0	0	0
Bookflow	695.13	3,100	216.13	1.4512	3.5	68%	0	0	0
Goodread Bookstore	703.00	579	224.0	1.4676	5	97%	1	0	0
The Bookhive	639.20	43	160.2	1.3344	4	80%	0	0	0
BW ENTERPRISES	623.00	44	144.0	1.3006	4	79%	0	0	0
BooksRaja	617.00	171	138.0	1.2881	4.5	85%	0	0	0
Suryan Books	639.00	39	160.0	1.334	4.5	95%	0	0	0
ReadAhead	719.00	213	240.0	1.501	4	79%	0	0	0
Sunrise Book store	606.00	1,359	127.0	1.2651	3.5	61%	0	0	0
ScribbleGraffito	655.18	29	176.18	1.3678	4.5	91%	0	0	0
V5MARK	630.00	8	151.0	1.3152	4	75%	0	0	0
Booksmandi	640.00	2,531	161.0	1.3361	4.5	89%	0	0	0
HERITAGE PUBLISHERS	743.00	783	264.0	1.5511	4.5	94%	0	0	0
fairdealenterprise	615.23	45	136.23	1.2844	2	25%	0	0	0
S B T books	737.00	113	258.0	1.5386	4.5	88%	0	0	0
W S Retaill	737.00	34	258.0	1.5386	3.5	68%	0	0	0
Wish Your Book	671.16		192.16	1.4012			0	0	0
Resource book store	679.00	1	200.0	1.4175	5	100%	0	0	0
Amazing BookS	639.00	106	160.0	1.334	3	54%	0	0	0
BSK Book	749.00	160	270.0	1.5637	3.5	60%	0	0	0
READERS CHOICE BOOKS	679.00	100	200.0	1.4175	4	76%	0	0	0
CrossWord Books	735.00	116	256.0	1.5344	5	95%	0	0	0
Shreeganesh16	715.00	27	236.0	1.4927	4.5	83%	0	0	0
Abhinav Books Store	703.12	60	224.12	1.4679	3	53%	0	0	0
Book Palace	674.00	11	195.0	1.4071	3.5	55%	0	0	0
Buy Amazing Books	799.00	3,558	320.0	1.6681	3	51%	0	0	0
Santusti Enterprises	799.00	26	320.0	1.6681	4	81%	0	0	0
Winmaarc	810.00	118	331.0	1.691	3.5	68%	0	0	0
BookInc	744.00	17	265.0	1.5532	4.5	94%	0	0	0
Books-a-zillion	719.10	89	240.1	1.5013	4	82%	0	0	0
BOOKKR	799.00	5	320.0	1.6681	3.5	60%	0	0	0
Browsers' Lounge	765.00	122	286.0	1.5971	4.5	96%	0	0	0
Kushii Radiance Bookshop	760.00	63	281.0	1.5866	4.5	84%	0	0	0
A to Z Book House	799.00	1,275	320.0	1.6681	3	45%	0	0	0
Special Library	856.00	57	377.0	1.7871	4	74%	0	0	0
Ambe Books	824.94	2	345.94	1.7222	3	50%	0	0	0
Ginni Books	825.04	9	346.04	1.7224	4.5	89%	0	0	0
SN Square	879.00	59	400.0	1.8351	4	75%	0	0	0
SAI BOOKS	791.00	181	312.0	1.6514	3	46%	0	0	0
Bookflow	719.10	3,100	240.1	1.5013	3.5	68%	0	0	0
ScribbleGraffito	663.17	29	184.17	1.3845	4.5	91%	0	0	0
Book store01	999.00	14	520.0	2.0856	3.5	57%	0	0	0
Choice is Yours	964.00	26	485.0	2.0125	4.5	92%	0	0	0
INFINITE BOOKS	1743.33	288	1264.33	3.6395	5	99%	0	0	0
SmartGlobal	1857.00	213	1378.0	3.8768	3	49%	0	0	0
Bookswagon	1920.00	6,387	1441.0	4.0084	4	70%	0	0	0
Fast Media 2	1971.36	6,006	1492.36	4.1156	4	72%	0	0	0
B2A UK	2297.00	6,928	1818.0	4.7954	4.5	83%	0	0	0
D R	2347.00	12,169	1868.0	4.8998	4	82%	0	0	0
Bookflow	719.10	3,100	240.1	1.5013	3.5	68%	0	0	0
CrossWord Books	735.00	116	256.0	1.5344	5	95%	0	0	0
Abhinav Books Store	719.10	60	240.1	1.5013	3	53%	0	0	0
Winmaarc	810.00	118	331.0	1.691	3.5	68%	0	0	0
Sunrise Book store	699.00	1,359	220.0	1.4593	3.5	61%	0	0	0
fairdealenterprise	799.00	45	320.0	1.6681	2	25%	0	0	0
Bookswagon	1920.00	6,387	1441.0	4.0084	4	70%	0	0	0
Sunrise Book store	1835.00	1,359	1356.0	3.8309	3.5	61%	0	0	0
Bookswagon	2153.00	6,387	1674.0	4.4948	4	70%	0	0	0
Sunrise Book store	2061.00	1,359	1582.0	4.3027	3.5	61%	0	0	0
Sunrise Book store	2299.00	1,359	1820.0	4.7996	3.5	61%	0	0	0
Sunrise Book store	2358.00	1,359	1879.0	4.9228	3.5	61%	0	0	0
