Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	304.02	25,151	75.0	1.3275	4.5	92%	1	0	1
Inetrade India	229.02	3,255	0.0	1.0	4	75%	0	0	0
Bookflow	315.00	3,100	85.98	1.3754	3.5	68%	0	0	0
ReadAhead	315.00	213	85.98	1.3754	4	79%	0	0	0
Essay Shopping Malls	331.00	52	101.98	1.4453	4	75%	0	0	0
MK BOOKS INDIA	350.00	2,249	120.98	1.5283	2.5	34%	0	0	0
Santusti Enterprises	350.00	26	120.98	1.5283	4	81%	0	0	0
ScribbleGraffito	290.50	29	61.48	1.2684	4.5	91%	0	0	0
A to Z Book House	350.00	1,275	120.98	1.5283	3	45%	0	0	0
Bookswagon	626.00	6,387	396.98	2.7334	4	70%	0	0	0
Bookflow	315.00	3,100	85.98	1.3754	3.5	68%	0	0	0
Bookswagon	691.00	6,387	461.98	3.0172	4	70%	0	0	0
Bookswagon	738.00	6,387	508.98	3.2224	4	70%	0	0	0
Sunrise Book store	656.00	1,359	426.98	2.8644	3.5	61%	0	0	0
Sunrise Book store	621.00	1,359	391.98	2.7116	3.5	61%	0	0	0
Sunrise Book store	706.00	1,359	476.98	3.0827	3.5	61%	0	0	0
B2A UK	1084.00	6,928	854.98	4.7332	4.5	83%	0	0	0
