Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
RADHA KRISHNA BOOK STORES	280.00	8	0.0	1.0	3.5	63%	0	0	0
uRead-Store	291.00	25,151	11.0	1.0393	4.5	92%	1	0	0
Cloudtail India	291.00	1,299,285	11.0	1.0393	4.5	92%	1	1	1
Read factor	329.00	1,532	49.0	1.175	3.5	67%	0	0	0
World500	334.00	3,277	54.0	1.1929	4	76%	0	0	0
R-our Book	299.00	1,305	19.0	1.0679	4	77%	0	0	0
FOUNTAINHEAD	287.00	98	7.0	1.025	4.5	91%	0	0	0
SRBOOKWORLD	375.00	404	95.0	1.3393	4.5	93%	0	0	0
HERITAGE PUBLISHERS	375.00	783	95.0	1.3393	4.5	94%	0	0	0
MONOBO BOOKS	291.00	117	11.0	1.0393	4.5	86%	0	0	0
Amazing_Buy	385.00	17,789	105.0	1.375	4.5	95%	1	0	0
Crossword Bookstores Ltd	399.00	2,475	119.0	1.425	4	74%	0	0	0
Inetrade India	326.48	3,255	46.48	1.166	4	75%	0	0	0
MK BOOKS INDIA	424.00	2,249	144.0	1.5143	2.5	34%	0	0	0
NS DISTRIBUTOR	375.00	7	95.0	1.3393	4	86%	0	0	0
Bookflow	434.13	3,100	154.13	1.5505	3.5	68%	0	0	0
Sri Ganesha Books	359.00	382	79.0	1.2821	4	82%	0	0	0
Bookswagon	363.00	6,387	83.0	1.2964	4	70%	0	0	0
Goodread Bookstore	364.00	579	84.0	1.3	5	97%	0	0	0
RSONS	369.00	481	89.0	1.3179	4.5	84%	0	0	0
ABRB	444.00	60	164.0	1.5857	4	82%	0	0	0
The Grand_Store	399.00	10	119.0	1.425	3	50%	0	0	0
Sunrise Book store	375.00	1,359	95.0	1.3393	3.5	61%	0	0	0
Comma365	415.00	2,242	135.0	1.4821	4.5	95%	0	0	0
Book store01	429.00	14	149.0	1.5321	3.5	57%	0	0	0
Randomindia	384.00	9	104.0	1.3714	3.5	67%	0	0	0
BooksRaja	364.00	171	84.0	1.3	4.5	85%	0	0	0
Darth Vader	393.00	61	113.0	1.4036	4	77%	0	0	0
The Bookhive	399.20	43	119.2	1.4257	4	80%	0	0	0
S B T books	371.00	113	91.0	1.325	4.5	88%	0	0	0
Suryan Books	399.00	39	119.0	1.425	4.5	95%	0	0	0
Okhla Book Distributor	345.00	60	65.0	1.2321	4.5	95%	0	0	0
Winmaarc	485.00	118	205.0	1.7321	3.5	68%	0	0	0
ScribbleGraffito	409.18	29	129.18	1.4614	4.5	91%	0	0	0
BW ENTERPRISES	399.00	44	119.0	1.425	4	79%	0	0	0
Booksmandi	400.00	2,531	120.0	1.4286	4.5	89%	0	0	0
Resource book store	424.00	1	144.0	1.5143	5	100%	0	0	0
V5MARK	395.00	8	115.0	1.4107	4	75%	0	0	0
Wish Your Book	424.15		144.15	1.5148			0	0	0
Special Library	433.00	57	153.0	1.5464	4	74%	0	0	0
Abhinav Books Store	439.12	60	159.12	1.5683	3	53%	0	0	0
Shreeganesh16	449.00	27	169.0	1.6036	4.5	83%	0	0	0
BOOKKR	499.00	5	219.0	1.7821	3.5	60%	0	0	0
Browsers' Lounge	477.00	122	197.0	1.7036	4.5	96%	0	0	0
Books-a-zillion	449.10	89	169.1	1.6039	4	82%	0	0	0
BookAdda	489.00	365	209.0	1.7464	3	46%	0	0	0
Kushii Radiance Bookshop	475.00	63	195.0	1.6964	4.5	84%	0	0	0
SAI BOOKS	395.00	181	115.0	1.4107	3	46%	0	0	0
A to Z Book House	499.00	1,275	219.0	1.7821	3	46%	0	0	0
Payal Books	499.00	657	219.0	1.7821	3	51%	0	0	0
Winmaarc	485.00	118	205.0	1.7321	3.5	68%	0	0	0
BooksRaja	391.00	171	111.0	1.3964	4.5	85%	0	0	0
Abhinav Books Store	449.10	60	169.1	1.6039	3	53%	0	0	0
Books-a-zillion	499.00	89	219.0	1.7821	4	82%	0	0	0
SAI BOOKS	494.00	181	214.0	1.7643	3	46%	0	0	0
