Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
dealstar	630.00	6,596	0.0	1.0	4.5	85%	0	0	0
Atlantic Publishers and Distributors	1327.00	14,538	697.0	2.1063	4.5	94%	0	0	1
Peacockbooks	1379.00	2,801	749.0	2.1889	4.5	92%	0	0	0
Bookswagon	1519.00	6,382	889.0	2.4111	4	70%	0	0	0
Sunrise Book store	1523.00	1,358	893.0	2.4175	3.5	61%	0	0	0
B2A UK	1578.00	6,928	948.0	2.5048	4.5	83%	0	0	0
Bookswagon	1593.00	6,382	963.0	2.5286	4	70%	0	0	0
Fast Media 2	1956.44	6,006	1326.44	3.1055	4	72%	0	0	0
D R	2350.00	12,168	1720.0	3.7302	4	82%	0	0	0
etohfa	2597.00	23	1967.0	4.1222	5	100%	0	0	0
Sunrise Book store	1497.00	1,358	867.0	2.3762	3.5	61%	0	0	0
Bookswagon	1703.00	6,382	1073.0	2.7032	4	70%	0	0	0
Atlantic Publishers and Distributors	1744.00	14,538	1114.0	2.7683	4.5	94%	0	0	1
Sunrise Book store	1610.00	1,358	980.0	2.5556	3.5	61%	0	0	0
