Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	1873.00	25,160	180.0	1.1063	4.5	92%	1	0	1
Sunrise Book store	1693.00	1,360	0.0	1.0	3.5	61%	0	0	0
Darth Vader	2423.00	61	730.0	1.4312	4	77%	0	0	0
Inetrade India	2505.71	3,258	812.71	1.48	4	75%	0	0	0
Bookswagon	2957.00	6,390	1264.0	1.7466	4	70%	0	0	0
B2A UK	3146.00	6,928	1453.0	1.8582	4.5	83%	0	0	0
Sunrise Book store	3189.00	1,360	1496.0	1.8836	3.5	61%	0	0	0
Bookswagon	3802.00	6,390	2109.0	2.2457	4	70%	0	0	0
Fast Media 2	4328.89	6,007	2635.89	2.5569	4	72%	0	0	0
D R	5066.00	12,168	3373.0	2.9923	4	82%	0	0	0
Sunrise Book store	3688.00	1,360	1995.0	2.1784	3.5	61%	0	0	0
Sunrise Book store	3717.00	1,360	2024.0	2.1955	3.5	61%	0	0	0
