Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	197.00	1,536	1.34	1.0068	3.5	67%	0	0	0
World500	203.00	3,299	7.34	1.0375	4	76%	0	0	0
uRead-Store	234.00	25,154	38.34	1.196	4.5	92%	1	0	1
Amazing_Buy	234.00	17,789	38.34	1.196	4.5	95%	1	0	0
ReadAhead	269.00	213	73.34	1.3748	4	79%	0	0	0
Inetrade India	195.66	3,256	0.0	1.0	4	75%	0	0	0
BOOKFACTORY	221.00	6	25.34	1.1295	3.5	67%	0	0	0
AskTech Books	227.00	2	31.34	1.1602	2.5	50%	0	0	0
killer,sbooks	287.00	18	91.34	1.4668	5	100%	0	0	0
Sri Ganesha Books	215.00	382	19.34	1.0988	4	82%	0	0	0
O_Store	215.28	593	19.62	1.1003	4.5	87%	0	0	0
Goodread Bookstore	299.00	579	103.34	1.5282	5	97%	1	0	0
MK BOOKS INDIA	299.00	2,249	103.34	1.5282	2.5	34%	0	0	0
Santusti Enterprises	299.00	26	103.34	1.5282	4	81%	0	0	0
Book Selection Centre	220.00	136	24.34	1.1244	4.5	96%	0	0	0
BSK Book	289.00	160	93.34	1.4771	3.5	60%	0	0	0
Comma365	274.00	2,242	78.34	1.4004	4.5	95%	0	0	0
The Bookhive	239.20	43	43.54	1.2225	4	80%	0	0	0
GBD BOOKS	239.00	232	43.34	1.2215	4	68%	0	0	0
SBM Enterprises	230.23	48	34.57	1.1767	4	75%	0	0	0
RSONS	249.00	481	53.34	1.2726	4.5	84%	0	0	0
CrossWord Books	275.00	116	79.34	1.4055	5	95%	0	0	0
Sunrise Book store	250.00	1,360	54.34	1.2777	3.5	61%	0	0	0
Skycart	254.00	479	58.34	1.2982	4.5	90%	0	0	0
Browsers' Lounge	254.15	122	58.49	1.2989	4.5	96%	0	0	0
BOOKKR	299.00	5	103.34	1.5282	3.5	60%	0	0	0
S B T books	277.00	113	81.34	1.4157	4.5	88%	0	0	0
W S Retaill	277.00	34	81.34	1.4157	3.5	68%	0	0	0
Booknow	233.00	898	37.34	1.1908	4	80%	0	0	0
BooksRaja	248.00	171	52.34	1.2675	4.5	85%	0	0	0
Venture360	284.00	25	88.34	1.4515	3	52%	0	0	0
Booksmandi	252.00	2,531	56.34	1.2879	4.5	89%	0	0	0
BookInc	279.00	17	83.34	1.4259	4.5	94%	0	0	0
The Grand_Store	320.00	10	124.34	1.6355	3	50%	0	0	0
Book store01	329.00	14	133.34	1.6815	3.5	57%	0	0	0
Amazing BookS	239.00	106	43.34	1.2215	3	54%	0	0	0
PRISM ONLINE	299.00	62	103.34	1.5282	4	68%	0	0	0
Books-a-zillion	269.10	89	73.44	1.3753	4	82%	0	0	0
Kushii Radiance Bookshop	285.00	63	89.34	1.4566	4.5	84%	0	0	0
ROXY BOOK SHOP	299.00	69	103.34	1.5282	4	72%	0	0	0
CrossWord Books	275.00	116	79.34	1.4055	5	95%	0	0	0
Sunrise Book store	250.00	1,360	54.34	1.2777	3.5	61%	0	0	0
Talekart	299.00	19	103.34	1.5282	5	95%	0	0	0
SN Square	329.00	59	133.34	1.6815	4	75%	0	0	0
A to Z Book House	299.00	1,276	103.34	1.5282	3	44%	0	0	0
PKS RETAIL	442.00	4	246.34	2.259	5	100%	0	0	0
SAI BOOKS	296.00	181	100.34	1.5128	3	46%	0	0	0
