Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	339.00	3,268	64.0	1.2327	4	76%	0	0	0
Buy Amazing Books	349.00	3,554	74.0	1.2691	3	51%	0	0	0
Amazing_Buy	355.00	17,787	80.0	1.2909	4.5	95%	1	0	1
uRead-Store	355.00	25,138	80.0	1.2909	4.5	92%	1	0	0
ALTBOOKS	374.00		99.0	1.36			0	0	0
VEKBook	374.00		99.0	1.36			0	0	0
Payal Books	275.00	657	0.0	1.0	3	51%	0	0	0
BOOKFACTRY	399.00	1	124.0	1.4509	5	100%	0	0	0
BooksStation	399.00		124.0	1.4509			0	0	0
Book,stage	399.00		124.0	1.4509			0	0	0
Inetrade India	326.48	3,253	51.48	1.1872	4	75%	0	0	0
India Book Club	410.00	48	135.0	1.4909	4	77%	0	0	0
BOOKS BOOKS INDIA	320.00	56	45.0	1.1636	3.5	55%	0	0	0
MK BOOKS INDIA	424.00	2,247	149.0	1.5418	2.5	34%	0	0	0
BOOKFACTORY	369.00	6	94.0	1.3418	3.5	67%	0	0	0
Sri Ganesha Books	359.00	382	84.0	1.3055	4	82%	0	0	0
FOUNTAINHEAD	359.00	98	84.0	1.3055	4.5	91%	0	0	0
Mumbai gift corner	444.00	720	169.0	1.6145	4.5	89%	0	0	0
A Mind's Bookstore	364.00	1,409	89.0	1.3236	4.5	89%	0	0	0
Bookflow	444.11	3,100	169.11	1.6149	3.5	68%	0	0	0
AskTech Books	380.00	2	105.0	1.3818	2.5	50%	0	0	0
ReadAhead	449.00	213	174.0	1.6327	4	79%	0	0	0
Comma365	415.00	2,242	140.0	1.5091	4.5	95%	0	0	0
O_Store	374.25	593	99.25	1.3609	4.5	87%	0	0	0
Goodread Bookstore	459.00	579	184.0	1.6691	5	97%	1	0	0
W S Retaill	461.00	34	186.0	1.6764	3.5	68%	0	0	0
S B T books	461.00	113	186.0	1.6764	4.5	88%	0	0	0
Sunrise Book store	389.00	1,358	114.0	1.4145	3.5	61%	0	0	0
HERITAGE PUBLISHERS	474.00	783	199.0	1.7236	4.5	94%	0	0	0
The Bookhive	399.20	43	124.2	1.4516	4	80%	0	0	0
SBM Enterprises	384.23	48	109.23	1.3972	4	75%	0	0	0
killer,sbooks	479.00	18	204.0	1.7418	5	100%	0	0	0
Skycart	409.00	479	134.0	1.4873	4.5	90%	0	0	0
Book store01	459.00	14	184.0	1.6691	3.5	57%	0	0	0
PIYUSH PUBLISHER AND DISTRIBUTORS	490.00	18	215.0	1.7818	4	73%	0	0	0
Simmra Book House	450.00	62	175.0	1.6364	4.5	84%	0	0	0
BooksRaja	392.00	171	117.0	1.4255	4.5	85%	0	0	0
BW ENTERPRISES	399.00	44	124.0	1.4509	4	79%	0	0	0
Booknow	389.00	898	114.0	1.4145	4	80%	0	0	0
ScribbleGraffito	414.17	29	139.17	1.5061	4.5	91%	0	0	0
Books For All	499.00	314	224.0	1.8145	4	81%	1	0	0
Santusti Enterprises	499.00	26	224.0	1.8145	4	81%	0	0	0
Booksmandi	400.00	2,531	125.0	1.4545	4.5	89%	0	0	0
CrossWord Books	459.00	116	184.0	1.6691	5	95%	0	0	0
BSK Book	489.00	160	214.0	1.7782	3.5	61%	0	0	0
Amazing BookS	399.00	106	124.0	1.4509	3	54%	0	0	0
BOOKKR	499.00	5	224.0	1.8145	3.5	60%	0	0	0
Venture360	474.00	25	199.0	1.7236	3	52%	0	0	0
Rajiv Book House	450.00	371	175.0	1.6364	4.5	93%	0	0	0
READERS CHOICE BOOKS	449.00	100	174.0	1.6327	4	76%	0	0	0
Browsers' Lounge	477.00	122	202.0	1.7345	4.5	96%	0	0	0
Books-a-zillion	449.10	89	174.1	1.6331	4	82%	0	0	0
Kushii Radiance Bookshop	475.00	63	200.0	1.7273	4.5	84%	0	0	0
The Grand_Store	490.00	10	215.0	1.7818	3	50%	0	0	0
PRISM ONLINE	499.00	62	224.0	1.8145	4	68%	0	0	0
A to Z Book House	499.00	1,275	224.0	1.8145	3	46%	0	0	0
SN Square	549.00	59	274.0	1.9964	4	75%	0	0	0
PKS RETAIL	654.00	4	379.0	2.3782	5	100%	0	0	0
ROSHAN COLLECTION	562.92		287.92	2.047			0	0	0
Universal Books House	645.00	1	370.0	2.3455	5	100%	0	0	0
Payal Books	299.00	657	24.0	1.0873	3	51%	0	0	0
BOOKS BOOKS INDIA	339.00	56	64.0	1.2327	3.5	55%	0	0	0
BOOKS BOOKS INDIA	349.00	56	74.0	1.2691	3.5	55%	0	0	0
Bookflow	449.10	3,100	174.1	1.6331	3.5	68%	0	0	0
Sunrise Book store	389.00	1,358	114.0	1.4145	3.5	61%	0	0	0
CrossWord Books	459.00	116	184.0	1.6691	5	95%	0	0	0
etohfa	2865.00	23	2590.0	10.4182	5	100%	0	0	0
