Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
bhole sai	675.00	21	25.0	1.0385	3.5	58%	0	0	1
Sri Padmavathi Publications	665.00	640	15.0	1.0231	4.5	93%	0	0	0
Sai Book House	650.00	44	0.0	1.0	4	73%	0	0	0
PRATIBHABOOKS	725.00	30	75.0	1.1154	4	74%	0	0	0
