Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bookswagon	1534.00	6,375	5.0	1.0033	4	70%	0	0	1
JustBuyBooks	1572.00	26	43.0	1.0281	3.5	69%	0	0	0
Sunrise Book store	1624.00	1,356	95.0	1.0621	3.5	61%	0	0	0
Bookswagon	1709.00	6,375	180.0	1.1177	4	70%	0	0	1
Sunrise Book store	1544.00	1,356	15.0	1.0098	3.5	61%	0	0	0
Sunrise Book store	1529.00	1,356	0.0	1.0	3.5	61%	0	0	0
Fast Media 2	2087.43	6,005	558.43	1.3652	4	72%	0	0	0
INFINITE BOOKS	2273.39	282	744.39	1.4868	5	99%	0	0	0
Fast Media 2	2390.61	6,005	861.61	1.5635	4	72%	0	0	0
D R	3472.00	12,168	1943.0	2.2708	4	82%	0	0	0
Bookswagon	1720.00	6,375	191.0	1.1249	4	70%	0	0	1
Sunrise Book store	1568.00	1,356	39.0	1.0255	3.5	61%	0	0	0
Bookswagon	1720.00	6,375	191.0	1.1249	4	70%	0	0	1
