Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Buy Amazing Books	201.00	3,559	7.96	1.0412	3	51%	0	0	0
World500	201.00	3,279	7.96	1.0412	4	76%	0	0	0
Cloudtail India	216.00	1,299,297	22.96	1.1189	4.5	92%	1	1	1
Repro Books on Demand	217.00	3,418	23.96	1.1241	4.5	93%	1	0	0
uRead-Store	231.00	25,154	37.96	1.1966	4.5	92%	1	0	0
Mittal Books India	232.00	15,729	38.96	1.2018	4.5	95%	1	0	0
Inetrade India	193.04	3,256	0.0	1.0	4	75%	0	0	0
BOOK CENTRE	200.00	862	6.96	1.0361	4	81%	0	0	0
MK BOOKS INDIA	295.00	2,249	101.96	1.5282	2.5	34%	0	0	0
ABRB	246.00	60	52.96	1.2743	4	82%	0	0	0
Crossword Bookstores Ltd	236.00	2,475	42.96	1.2225	4	74%	0	0	0
Comma365	271.00	2,242	77.96	1.4039	4.5	95%	0	0	0
Suryan Books	236.00	39	42.96	1.2225	4.5	95%	0	0	0
#BooksStore	251.00	6	57.96	1.3002	5	100%	0	0	0
BW ENTERPRISES	228.00	44	34.96	1.1811	4	79%	0	0	0
Kushii Radiance Bookshop	236.00	63	42.96	1.2225	4.5	84%	0	0	0
Vaishno Books Store	262.55	7	69.51	1.3601	4.5	86%	0	0	0
Booknow	230.00	898	36.96	1.1915	4	80%	0	0	0
Abhinav Books Store	271.00	60	77.96	1.4039	3	53%	0	0	0
DilliDukan	274.00	5	80.96	1.4194	5	100%	0	0	0
Booksmandi	248.00	2,531	54.96	1.2847	4.5	89%	0	0	0
S J Books	280.00	1	86.96	1.4505	5	100%	0	0	0
SansRack	295.00	1,052	101.96	1.5282	4.5	94%	0	0	0
Talekart	295.00	19	101.96	1.5282	5	95%	0	0	0
Books Cloud	340.00	1	146.96	1.7613	1	0%	0	0	0
Books-a-zillion	295.00	89	101.96	1.5282	4	82%	0	0	0
cafe book shop	295.00		101.96	1.5282			0	0	0
Ginni Books	357.67	9	164.63	1.8528	4.5	89%	0	0	0
Ambe Books	357.67	2	164.63	1.8528	3	50%	0	0	0
Bookswagon	1530.00	6,387	1336.96	7.9258	4	70%	0	0	0
Ginni Books	357.74	9	164.7	1.8532	4.5	89%	0	0	0
B2A UK	1733.00	6,928	1539.96	8.9774	4.5	83%	0	0	0
