Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	165.00	1,532	46.0	1.3866	3.5	67%	0	0	0
Buy Amazing Books	170.00	3,558	51.0	1.4286	3	51%	0	0	0
A C Store	119.00	22	0.0	1.0	3.5	64%	0	0	0
uRead-Store	225.75	25,152	106.75	1.8971	4.5	92%	1	0	0
Inetrade India	150.75	3,256	31.75	1.2668	4	75%	0	0	1
Sunrise Book store	188.00	1,359	69.0	1.5798	3.5	61%	0	0	0
AskTech Books	192.00	2	73.0	1.6134	2.5	50%	0	0	0
Goodread Bookstore	182.00	579	63.0	1.5294	5	97%	0	0	0
O_Store	185.00	593	66.0	1.5546	4.5	87%	0	0	0
The Bookhive	200.00	43	81.0	1.6807	4	80%	0	0	0
Education Centre	159.00	13	40.0	1.3361	2	23%	0	0	0
Starmark	225.00	2,139	106.0	1.8908	3.5	68%	0	0	0
Skycart	225.00	479	106.0	1.8908	4.5	90%	0	0	0
Browsers' Lounge	243.00	122	124.0	2.042	4.5	96%	0	0	0
Books-a-zillion	225.00	89	106.0	1.8908	4	82%	0	0	0
A to Z Book House	250.00	1,275	131.0	2.1008	3	45%	0	0	0
Booksmandi	250.00	2,531	131.0	2.1008	4.5	89%	0	0	0
Ambe Books	318.88	2	199.88	2.6797	3	50%	0	0	0
Ginni Books	318.98	9	199.98	2.6805	4.5	89%	0	0	0
SAI BOOKS	247.00	181	128.0	2.0756	3	46%	0	0	0
Sunrise Book store	216.00	1,359	97.0	1.8151	3.5	61%	0	0	0
SAI BOOKS	247.00	181	128.0	2.0756	3	46%	0	0	0
etohfa	5441.00	23	5322.0	45.7227	5	100%	0	0	0
