Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Universal Book Zone	222.00	272	27.0	1.1385	4	73%	0	0	0
SRS Book	219.00	80	24.0	1.1231	4	74%	0	0	0
J B Books Sellers & Distributors	195.00	770	0.0	1.0	4	81%	0	0	0
Book Holders	199.00	23	4.0	1.0205	4.5	87%	0	0	0
GB BOOK SHOP	199.00	21	4.0	1.0205	4	67%	0	0	0
Sai Kritin	295.00	16	100.0	1.5128	4	63%	0	0	0
DRPNbooks	250.00	8	55.0	1.2821	5	100%	0	0	0
Asian booksellers	255.00	24	60.0	1.3077	4	72%	0	0	0
BOOK LOVER'S	349.00	69	154.0	1.7897	4	80%	0	0	0
A H boOKS	301.00	5	106.0	1.5436	5	100%	0	0	0
Shiva Books Hub	290.00		95.0	1.4872			0	0	0
2GUYS CREATION	299.00	16	104.0	1.5333	3	56%	0	0	0
Somaiyas	297.00	51	102.0	1.5231	4.5	96%	0	0	0
SK Book HUb	420.00	5	225.0	2.1538	3.5	60%	0	0	0
royalsboks	383.00	97	188.0	1.9641	4.5	81%	0	0	0
OS BOOKS	488.00	7	293.0	2.5026	3.5	71%	0	0	0
OM Sakthi Books	460.00	16	265.0	2.359	4.5	100%	0	0	0
DIGITAL PRESS	550.00	66	355.0	2.8205	3	58%	0	0	0
Cloudtail India	561.00	1,299,289	366.0	2.8769	4.5	92%	1	1	0
STUDENT BOOK STALL VVNAGAR	515.00	96	320.0	2.641	3.5	67%	0	0	0
STUDENT BOOK STALL VVNAGAR	649.00	96	454.0	3.3282	3.5	67%	0	0	0
uRead-Store	882.00	25,152	687.0	4.5231	4.5	92%	1	0	0
MK BOOKS INDIA	940.00	2,249	745.0	4.8205	2.5	34%	0	0	0
Kushii Radiance Bookshop	846.00	63	651.0	4.3385	4.5	84%	0	0	0
Books-a-zillion	940.00	89	745.0	4.8205	4	82%	0	0	0
Booksmandi	940.00	2,531	745.0	4.8205	4.5	89%	0	0	0
SAI BOOKS	930.00	181	735.0	4.7692	3	46%	0	0	0
