Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Indian Professional Library	560.00		61.0	1.1222			0	0	0
DIGITAL PRESS	680.00	66	181.0	1.3627	3	58%	0	0	0
Cloudtail India	683.00	1,299,289	184.0	1.3687	4.5	92%	1	1	0
Saibookdepot	599.00	43	100.0	1.2004	3	44%	0	0	0
jaihari books	499.00		0.0	1.0			0	0	0
StarMark Book Shop	649.00	1	150.0	1.3006	5	100%	0	0	0
uRead-Store	821.00	25,152	322.0	1.6453	4.5	92%	1	0	0
Wisdom connections	849.00	3	350.0	1.7014	3.5	67%	0	0	0
Manila Books Services	975.00	13	476.0	1.9539	4.5	92%	0	0	0
Books-a-zillion	975.00	89	476.0	1.9539	4	82%	0	0	0
Ebookstore	1222.00	522	723.0	2.4489	4.5	85%	0	0	0
Universal Books House	1199.00	1	700.0	2.4028	5	100%	0	0	0
ASIAN TREASURES	1467.00	18	968.0	2.9399	4.5	94%	0	0	0
Speedy_Books	1575.00	490	1076.0	3.1563	4.5	81%	0	0	0
