Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	165.00	1,532	14.25	1.0945	3.5	67%	0	0	0
ReadAhead	225.00	213	74.25	1.4925	4	79%	0	0	0
Bookflow	225.00	3,100	74.25	1.4925	3.5	68%	0	0	0
Inetrade India	150.75	3,256	0.0	1.0	4	75%	0	0	0
ScribbleGraffito	207.50	29	56.75	1.3765	4.5	91%	0	0	0
Books For All	210.00	314	59.25	1.393	4	81%	0	0	0
CrossWord Books	250.00	116	99.25	1.6584	5	95%	0	0	1
Booksmandi	210.00	2,531	59.25	1.393	4.5	89%	0	0	0
BOOKKR	280.00	5	129.25	1.8574	3.5	60%	0	0	0
A to Z Book House	250.00	1,275	99.25	1.6584	3	45%	0	0	0
justshopindia	250.00	2	99.25	1.6584	5	100%	0	0	0
S B T books	232.00	113	81.25	1.539	4.5	88%	0	0	0
Bookswagon	552.00	6,387	401.25	3.6617	4	70%	0	0	0
INFINITE BOOKS	564.00	288	413.25	3.7413	5	99%	0	0	0
W S Retaill	231.00	34	80.25	1.5323	3.5	68%	0	0	0
JustBuyBooks	648.00	26	497.25	4.2985	3.5	69%	0	0	0
Sunrise Book store	572.00	1,359	421.25	3.7944	3.5	61%	0	0	0
JustBuyBooks	696.00	26	545.25	4.6169	3.5	69%	0	0	0
D R	1576.00	12,169	1425.25	10.4544	4	82%	0	0	0
etohfa	1729.00	23	1578.25	11.4693	5	100%	0	0	0
Bookswagon	606.00	6,387	455.25	4.0199	4	70%	0	0	0
Bookswagon	598.00	6,387	447.25	3.9668	4	70%	0	0	0
Sunrise Book store	701.00	1,359	550.25	4.6501	3.5	61%	0	0	0
Sunrise Book store	577.00	1,359	426.25	3.8275	3.5	61%	0	0	0
JustBuyBooks	691.00	26	540.25	4.5837	3.5	69%	0	0	0
Sunrise Book store	547.00	1,359	396.25	3.6285	3.5	61%	0	0	0
