Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Vbookmart	5714.00	52	0.0	1.0	3.5	54%	0	0	0
EXPLORE BOOKS	6285.00	35	571.0	1.0999	3.5	69%	0	0	0
MK BOOKS INDIA	7240.00	2,248	1526.0	1.2671	2.5	34%	0	0	0
Cloudtail India	7552.00	1,299,265	1838.0	1.3217	4.5	92%	1	1	0
B2A UK	8143.00	6,928	2429.0	1.4251	4.5	83%	0	0	0
Atlantic Publishers and Distributors	8123.00	14,540	2409.0	1.4216	4.5	94%	0	0	0
Peacockbooks	8197.00	2,801	2483.0	1.4345	4.5	92%	0	0	0
Repro Books-On-Demand	8499.00	8,430	2785.0	1.4874	4.5	94%	1	0	0
ReproIndia	8499.00	924	2785.0	1.4874	4	79%	0	0	0
IndieCulture	8968.74		3254.74	1.5696			0	0	0
Atlantic Publishers and Distributors	8523.00	14,540	2809.0	1.4916	4.5	94%	0	0	0
Bookswagon	9028.00	6,387	3314.0	1.58	4	70%	0	0	0
T B	9062.97	64	3348.97	1.5861	4.5	93%	0	0	0
Bookswagon	9348.00	6,387	3634.0	1.636	4	70%	0	0	0
Sunrise Book store	9699.00	1,359	3985.0	1.6974	3.5	61%	0	0	0
Sunrise Book store	9748.00	1,359	4034.0	1.706	3.5	61%	0	0	0
D R	10594.00	12,169	4880.0	1.854	4	82%	0	0	0
