Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Booklover's Delight	449.00	3	0.0	1.0	3.5	67%	0	0	0
Amazing_Buy	488.00	17,790	39.0	1.0869	4.5	95%	1	0	0
uRead-Store	488.00	25,152	39.0	1.0869	4.5	92%	1	0	1
Inetrade India	477.87	3,256	28.87	1.0643	4	75%	0	0	0
O_Store	503.28	593	54.28	1.1209	4.5	87%	0	0	0
Okhla Book Distributor	460.00	60	11.0	1.0245	4.5	95%	0	0	0
Cloudtail India	597.00	1,299,289	148.0	1.3296	4.5	92%	1	1	0
Bookflow	608.13	3,100	159.13	1.3544	3.5	68%	0	0	0
Suryan Books	559.00	39	110.0	1.245	4.5	95%	0	0	0
Darth Vader	561.00	61	112.0	1.2494	4	77%	0	0	0
Skycart	580.00	479	131.0	1.2918	4.5	90%	0	0	0
BooksRaja	557.00	171	108.0	1.2405	4.5	85%	0	0	0
HERITAGE PUBLISHERS	657.00	783	208.0	1.4633	4.5	94%	0	0	0
ScribbleGraffito	580.17	29	131.17	1.2921	4.5	91%	0	0	0
V5MARK	556.00	8	107.0	1.2383	4	75%	0	0	0
Resource book store	594.00	1	145.0	1.3229	5	100%	0	0	0
A to Z Book House	699.00	1,275	250.0	1.5568	3	45%	0	0	0
Books-a-zillion	699.00	89	250.0	1.5568	4	82%	0	0	0
Sunrise Book store	699.00	1,359	250.0	1.5568	3.5	61%	0	0	0
Atlantic Publishers and Distributors	737.00	14,540	288.0	1.6414	4.5	94%	0	0	0
Peacockbooks	792.00	2,801	343.0	1.7639	4.5	92%	0	0	0
Bookswagon	854.00	6,387	405.0	1.902	4	70%	0	0	0
Bookswagon	857.00	6,387	408.0	1.9087	4	70%	0	0	0
Ginni Books	752.08	9	303.08	1.675	4.5	89%	0	0	0
Ambe Books	752.18	2	303.18	1.6752	3	50%	0	0	0
SAI BOOKS	692.00	181	243.0	1.5412	3	46%	0	0	0
Payal Books	799.00	657	350.0	1.7795	3	52%	0	0	0
B2A UK	1152.00	6,928	703.0	2.5657	4.5	83%	0	0	0
MK BOOKS INDIA	1184.00	2,249	735.0	2.637	2.5	34%	0	0	0
etohfa	2464.00	23	2015.0	5.4878	5	100%	0	0	0
Bookswagon	808.00	6,387	359.0	1.7996	4	70%	0	0	0
Sunrise Book store	974.00	1,359	525.0	2.1693	3.5	61%	0	0	0
Sunrise Book store	832.00	1,359	383.0	1.853	3.5	61%	0	0	0
Sunrise Book store	895.00	1,359	446.0	1.9933	3.5	61%	0	0	0
