Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	465.00	17,788	73.11	1.1866	4.5	95%	1	0	0
Repro Books on Demand	465.00	3,418	73.11	1.1866	4.5	93%	1	0	0
uRead-Store	465.00	25,141	73.11	1.1866	4.5	92%	1	0	0
Cloudtail India	465.00	1,299,264	73.11	1.1866	4.5	92%	1	1	1
Inetrade India	391.89	3,254	0.0	1.0	4	75%	0	0	0
siddharth books	400.00	51	8.11	1.0207	2.5	36%	0	0	0
MK BOOKS INDIA	509.00	2,248	117.11	1.2988	2.5	34%	0	0	0
FOUNTAINHEAD	431.00	98	39.11	1.0998	4.5	91%	0	0	0
Sri Ganesha Books	431.00	382	39.11	1.0998	4	82%	0	0	0
Goodread Bookstore	437.00	579	45.11	1.1151	5	97%	0	0	0
S R int Store	455.24		63.35	1.1617			0	0	0
Book Selection Centre	460.00	136	68.11	1.1738	4.5	96%	0	0	0
Read factor	599.00	1,529	207.11	1.5285	3.5	67%	0	0	0
Vaishno Books Store	533.11	7	141.22	1.3604	4.5	86%	0	0	0
Browsers' Lounge	576.00	122	184.11	1.4698	4.5	96%	0	0	0
Atlantic Publishers and Distributors	675.00	14,540	283.11	1.7224	4.5	94%	0	0	0
Peacockbooks	730.00	2,801	338.11	1.8628	4.5	92%	0	0	0
Bookswagon	785.00	6,387	393.11	2.0031	4	70%	0	0	0
Sunrise Book store	782.00	1,358	390.11	1.9955	3.5	61%	0	0	0
