Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	485.00	1,299,337	42.0	1.0948	4.5	92%	1	1	1
R-our Book	449.00	1,305	6.0	1.0135	4	76%	0	0	0
MK BOOKS INDIA	509.00	2,249	66.0	1.149	2.5	34%	0	0	0
RSONS	443.00	481	0.0	1.0	4.5	84%	0	0	0
Bookflow	521.13	3,100	78.13	1.1764	3.5	68%	0	0	0
Randomindia	461.00	9	18.0	1.0406	3.5	67%	0	0	0
Inetrade India	477.87	3,258	34.87	1.0787	4	75%	0	0	0
The Bookhive	479.20	43	36.2	1.0817	4	80%	0	0	0
BW ENTERPRISES	462.00	44	19.0	1.0429	4	79%	0	0	0
Suryan Books	479.00	39	36.0	1.0813	4.5	95%	0	0	0
HERITAGE PUBLISHERS	563.00	783	120.0	1.2709	4.5	94%	0	0	0
ScribbleGraffito	491.18	29	48.18	1.1088	4.5	91%	0	0	0
V5MARK	466.00	8	23.0	1.0519	4	75%	0	0	0
EXCELLENT BOOK SERVICE	479.20	12	36.2	1.0817	3	50%	0	0	0
Resource book store	509.00	1	66.0	1.149	5	100%	0	0	0
Goodread Bookstore	510.00	579	67.0	1.1512	5	97%	0	0	0
Abhinav Books Store	527.12	60	84.12	1.1899	3	53%	0	0	0
Kushii Radiance Bookshop	510.00	63	67.0	1.1512	4.5	84%	0	0	0
NS DISTRIBUTOR	553.00	7	110.0	1.2483	4	86%	0	0	0
Winmaarc	630.00	118	187.0	1.4221	3.5	68%	0	0	0
Books-a-zillion	539.10	89	96.1	1.2169	4	82%	0	0	0
Browsers' Lounge	576.00	122	133.0	1.3002	4.5	96%	0	0	0
PRISM ONLINE	599.00	62	156.0	1.3521	4	68%	0	0	0
A to Z Book House	599.00	1,276	156.0	1.3521	3	44%	0	0	0
Booksmandi	599.00	2,531	156.0	1.3521	4.5	89%	0	0	0
Ambe Books	619.52	2	176.52	1.3985	3	50%	0	0	0
Ginni Books	619.62	9	176.62	1.3987	4.5	89%	0	0	0
Special Library	665.00	57	222.0	1.5011	4	74%	0	0	0
SAI BOOKS	593.00	181	150.0	1.3386	3	46%	0	0	0
Atlantic Publishers and Distributors	729.00	14,542	286.0	1.6456	4.5	94%	0	0	0
Abhinav Books Store	539.10	60	96.1	1.2169	3	53%	0	0	0
Winmaarc	630.00	118	187.0	1.4221	3.5	68%	0	0	0
Bookswagon	837.00	6,390	394.0	1.8894	4	70%	0	0	0
Peacockbooks	785.00	2,803	342.0	1.772	4.5	92%	0	0	0
Books: The Destiny Maker	749.00	285	306.0	1.6907	4	68%	0	0	0
Sunrise Book store	875.00	1,360	432.0	1.9752	3.5	61%	0	0	0
Sunrise Book store	1134.00	1,360	691.0	2.5598	3.5	61%	0	0	0
B2A UK	1175.00	6,928	732.0	2.6524	4.5	83%	0	0	0
