Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	1501.00	14,537	0.0	1.0	4.5	94%	0	0	1
Peacockbooks	1575.00	2,801	74.0	1.0493	4.5	92%	0	0	0
Atlantic Publishers and Distributors	1663.00	14,537	162.0	1.1079	4.5	94%	0	0	1
Bookswagon	1677.00	6,375	176.0	1.1173	4	70%	0	0	0
Bookswagon	1712.00	6,375	211.0	1.1406	4	70%	0	0	0
Sunrise Book store	1612.00	1,356	111.0	1.074	3.5	61%	0	0	0
Sunrise Book store	1650.00	1,356	149.0	1.0993	3.5	61%	0	0	0
Sunrise Book store	1661.00	1,356	160.0	1.1066	3.5	61%	0	0	0
etohfa	2956.00	23	1455.0	1.9694	5	100%	0	0	0
Bookswagon	1757.00	6,375	256.0	1.1706	4	70%	0	0	0
