Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
DONE DEAL	500.00	327	0.0	1.0	4.5	98%	0	0	0
AS SEEN ON TV PRODUCT	549.00	52	49.0	1.098	3.5	73%	0	0	1
MK BOOKS INDIA	638.00	2,247	138.0	1.276	2.5	34%	0	0	0
Essay Shopping Malls	656.00	52	156.0	1.312	4	75%	0	0	0
ReaderBooks	572.00	441	72.0	1.144	4	72%	0	0	0
All India Book House	695.00	2,957	195.0	1.39	4.5	93%	1	0	0
Inetrade India	636.60	3,250	136.6	1.2732	4	75%	0	0	0
Seattle Store	620.00	82	120.0	1.24	5	100%	0	0	0
Inspire A2Z Store	750.00	1	250.0	1.5	5	100%	0	0	0
MAGADH BOOKSTORE	750.00	163	250.0	1.5	4.5	88%	0	0	0
Books-a-zillion	750.00	89	250.0	1.5	4	82%	0	0	0
Education Centre	750.00	13	250.0	1.5	2	23%	0	0	0
A - Z Books Online	4691.00	104	4191.0	9.382	4.5	93%	0	0	0
