Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
MRM Books and Stationary	300.00	35	0.0	1.0	3	51%	0	0	0
DONE DEAL	400.00	327	100.0	1.3333	4.5	98%	0	0	0
J B Books Sellers & Distributors	435.00	770	135.0	1.45	4	81%	0	0	0
SM Book	490.00	11	190.0	1.6333	4	73%	0	0	0
Books Fair	586.00	253	286.0	1.9533	4.5	85%	0	0	1
Rajkesar books hub	498.00	10	198.0	1.66	3	50%	0	0	0
