Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	1176.00	14,538	0.0	1.0	4.5	94%	0	0	0
Peacockbooks	1250.00	2,801	74.0	1.0629	4.5	92%	0	0	0
Cloudtail India	1356.00	1,299,257	180.0	1.1531	4.5	92%	1	1	1
Bookswagon	1386.00	6,385	210.0	1.1786	4	70%	0	0	0
Sunrise Book store	1443.00	1,358	267.0	1.227	3.5	61%	0	0	0
MK BOOKS INDIA	1654.00	2,247	478.0	1.4065	2.5	34%	0	0	0
INFINITE BOOKS	2065.01	288	889.01	1.756	5	99%	0	0	0
Fast Media 2	2258.17	6,005	1082.17	1.9202	4	72%	0	0	0
SmartGlobal	2276.00	212	1100.0	1.9354	3	50%	0	0	0
Fast Media 2	2379.64	6,005	1203.64	2.0235	4	72%	0	0	0
Bookswagon	1386.00	6,385	210.0	1.1786	4	70%	0	0	0
Sunrise Book store	1296.00	1,358	120.0	1.102	3.5	61%	0	0	0
Sunrise Book store	1376.00	1,358	200.0	1.1701	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1632.00	14,538	456.0	1.3878	4.5	94%	0	0	0
Peacockbooks	1578.00	2,801	402.0	1.3418	4.5	92%	0	0	0
Bookswagon	1691.00	6,385	515.0	1.4379	4	70%	0	0	0
D R	2962.00	12,169	1786.0	2.5187	4	82%	0	0	0
