Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	669.00	3,319	0.0	1.0	4	76%	0	0	0
Buy Amazing Books	699.00	3,570	30.0	1.0448	3	52%	0	0	0
Cloudtail India	710.00	1,299,312	41.0	1.0613	4.5	92%	1	1	1
uRead-Store	711.00	25,155	42.0	1.0628	4.5	92%	1	0	0
Amazing_Buy	735.00	17,789	66.0	1.0987	4.5	95%	1	0	0
Inetrade India	717.71	3,257	48.71	1.0728	4	75%	0	0	0
R-our Book	749.00	1,305	80.0	1.1196	4	76%	0	0	0
Comma365	764.00	2,242	95.0	1.142	4.5	95%	0	0	0
RSONS	739.00	481	70.0	1.1046	4.5	84%	0	0	0
Goodread Bookstore	729.00	579	60.0	1.0897	5	97%	0	0	0
MK BOOKS INDIA	849.00	2,249	180.0	1.2691	2.5	34%	0	0	0
Randomindia	769.00	9	100.0	1.1495	3.5	67%	0	0	0
Bookflow	869.13	3,100	200.13	1.2991	3.5	68%	0	0	0
The Bookhive	799.20	43	130.2	1.1946	4	80%	0	0	0
V5MARK	750.00	8	81.0	1.1211	4	75%	0	0	0
BooksRaja	756.00	171	87.0	1.13	4.5	85%	0	0	0
Wish Your Book	839.16		170.16	1.2543			0	0	0
Booksmandi	800.00	2,531	131.0	1.1958	4.5	89%	0	0	0
S R int Store	759.24		90.24	1.1349			0	0	0
Resource book store	849.00	1	180.0	1.2691	5	100%	0	0	0
Suryan Books	849.00	39	180.0	1.2691	4.5	95%	0	0	0
Winmaarc	960.00	118	291.0	1.435	3.5	68%	0	0	0
BW ENTERPRISES	779.00	44	110.0	1.1644	4	79%	0	0	0
Books-a-zillion	899.10	89	230.1	1.3439	4	82%	0	0	0
Abhinav Books Store	879.12	60	210.12	1.3141	3	53%	0	0	0
Books Cloud	890.00	1	221.0	1.3303	1	0%	0	0	0
The Grand_Store	930.00	10	261.0	1.3901	3	50%	0	0	0
A to Z Book House	999.00	1,276	330.0	1.4933	3	44%	0	0	0
Ambe Books	997.23	2	328.23	1.4906	3	50%	0	0	0
Ginni Books	997.33	9	328.33	1.4908	4.5	89%	0	0	0
Abhinav Books Store	899.10	60	230.1	1.3439	3	53%	0	0	0
Maitry book Agency	999.00	139	330.0	1.4933	3.5	68%	0	0	0
SAI BOOKS	989.00	181	320.0	1.4783	3	46%	0	0	0
Atlantic Publishers and Distributors	1474.00	14,541	805.0	2.2033	4.5	94%	0	0	0
Peacockbooks	1548.00	2,801	879.0	2.3139	4.5	92%	0	0	0
Bookswagon	1717.00	6,386	1048.0	2.5665	4	70%	0	0	0
Bookswagon	1718.00	6,386	1049.0	2.568	4	70%	0	0	0
Sunrise Book store	1613.00	1,360	944.0	2.4111	3.5	61%	0	0	0
Sunrise Book store	1821.00	1,360	1152.0	2.722	3.5	61%	0	0	0
B2A UK	2001.00	6,928	1332.0	2.991	4.5	83%	0	0	0
